razão_social,cnpj,público_alvo,mandato,segmento,tipo_de_fundo,prazo_de_duração,tipo_de_gestão,taxa_de_administração,vacância,numero_de_cotistas,cotas_emitidas,val_patrimonial_p_cota,valor_patrimonial,último_rendimento,valor_patrimonial_unidade,papel
HEDGE RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.507.262/0001-21,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,0.70,0.00,2469,51685906,8.89,459.39,0.08,Milhões,HREC11
HEDGE DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.688.460/0001-39,Investidor Qualificado,Desenvolvimento para venda,Lajes Corporativas,Fundo de Desenvolvimento,Determinado,Ativa,0.85,0.00,114,3369989,94.25,317.62, 0.00,Milhões,HDOF11
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.689.497/0001-81,Investidor Qualificado,Híbridos,Híbrido,Outro,Determinado,Ativa,,0.00,126,1639989,90.33,148.14,0.78,Milhões,SEED11
HEDGE REALTY DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.929.519/0001-99,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Fundo de Desenvolvimento,Determinado,Ativa,0.75,0.00,867,1517414,7.02,10.65,34.00,Milhões,HRDF11
HEDGE SHOPPING PARQUE DOM PEDRO FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.586.415/0001-73,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.50,1.70,359,3287989,92.65,304.64,0.56,Milhões,HPDP11
HGI CRÉDITOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.456.508/0001-71,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,0.75,0.00,620,462695,110.27,51.02,0.80,Milhões,HGIC11
HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.307.582/0001-19,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.60,0.00,90417,226572055,7.66,1.74,0.06,Bilhão,HFOF11
HSI ATIVOS FINANCEIROS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.360.687/0001-50,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,8621,2526349,88.40,223.33,0.95,Milhões,HSAF11
HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.892.018/0001-31,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,1.20,3.30,186381,21329965,104.17,2.22,0.70,Bilhões,HSML11
HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.903.621/0001-71,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.95,0.00,40259,12660056,109.63,1.39,0.72,Bilhão,HSLG11
