razão_social,cnpj,público_alvo,mandato,segmento,tipo_de_fundo,prazo_de_duração,tipo_de_gestão,taxa_de_administração,vacância,numero_de_cotistas,cotas_emitidas,val_patrimonial_p_cota,valor_patrimonial,último_rendimento,valor_patrimonial_unidade,papel
AF INVEST REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,60.077.386/0001-61,Geral,Híbridos,Híbrido,Fundo Misto,Indeterminado,Ativa,0.11,0.00,521,4999989,10.24,51.22,0.14,Milhões,AFHF11
AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,36.642.293/0001-58,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,37610,4789232,94.56,452.87,1.01,Milhões,AFHI11
ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.011.324/0001-40,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.30,0.00,9941,19772474,9.40,185.92,0.11,Milhões,ALZC11
AJ MALLS,51.472.985/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,7.10,11366,31625967,11.11,351.46,0.05,Milhões,AJFI11
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.823/0001-88,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1.00,16.00,20,1085769,81.05,88.00,0.45,Milhões,AURB11
ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO,28.737.771/0001-85,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.20,0.00,178577,122266239,10.64,1.30,0.09,Bilhão,ALZR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS,43.010.485/0001-07,Geral,Híbridos,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,0.00,656,2829131,123.66,349.84,0.49,Milhões,APXM11
ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,44.527.494/0001-32,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.02,0.00,1883,8846651,9.11,80.61,0.09,Milhões,ARXD11
AROEIRA 333 RENDA LOGÍSTICA,44.674.528/0001-11,Geral,Desenvolvimento para renda,Outros,Fundo de Desenvolvimento,Indeterminado,Ativa,,0.00,5118,167926821,0.96,161.38,0.01,Milhões,AROA11
AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.765.826/0001-26,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.75,41.00,13545,4824976,76.57,369.47,0.34,Milhões,AIEC11
AZ QUEST PANORAMA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,51.890.054/0001-00,Geral,Renda,Logístico / Indústria / Galpões,Fundo Misto,Indeterminado,Ativa,1.10,0.00,5548,41922678,8.48,355.38,0.08,Milhões,AZPL11
BANESTES RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO,22.219.335/0001-38,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.0,0.00,42057,6257862,84.61,529.48,0.91,Milhões,BCRI11
BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.570.431/0001-60,Geral,Desenvolvimento para renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Ativa,0.4,26.90,5630,699989,77.91,54.54,0.75,Milhões,BNFS11
BB PREMIUM MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA,54.375.187/0001-37,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,0.80,2.58,35516,99120983,9.83,974.08,0.09,Milhões,BBIG11
BB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.180.091/0001-02,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Passiva,0.50,0.00,7031,4003889,76.67,306.97,0.71,Milhões,BBFO11
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.681.340/0001-04,Geral,Desenvolvimento para renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Passiva,0.60,5.70,8426,1589989,104.77,166.59,2.10,Milhões,BBRC11
BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.081.637/0001-71,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,0.95,0.00,13046,4674537,48.85,228.33,0.42,Milhões,BLMG11
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA – FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.216.935/0001-17,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.50,0.00,20622,3719027,103.15,383.60,0.86,Milhões,BCIA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BRASIL PLURAL ABSOLUTO,17.324.357/0001-28,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.4,0.00,20096,4492315,62.15,279.19,0.67,Milhões,BPFF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BM BRASCAN LAJES CORPORATIVAS,14.376.247/0001-11,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.20,0.00,1245,998394,105.88,105.71,0.72,Milhões,BMLC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO,21.126.204/0001-43,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Passiva,0.10,0.00,126,625529,769.58,481.40,8.28,Milhões,BVAR11
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII,13.584.584/0001-31,Geral,Títulos e valores mobiliários,Híbrido,Fundo Misto,Indeterminado,Ativa,1.60,0.00,11754,36006127,6.93,249.41,0.01,Milhões,CARE11
BRIO CRÉDITO ESTRUTURADO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,39.332.032/0001-20,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Determinado,Ativa,1.25,0.00,114,133403,1106.03,147.56,3.25,Milhões,BICE11
BRESCO LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.748.515/0001-81,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.0975,7.70,122348,18021292,116.29,2.10,0.87,Bilhões,BRCO11
BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.081.356/0001-84,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,1.50,0.00,8065,5845591,8.51,49.74,0.08,Milhões,BIME11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,30.567.216/0001-02,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.80,1.60,24458,5363150,96.17,515.78,0.80,Milhões,FATN11
BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.895.752/0001-80,Geral,Híbridos,Híbrido,Fundo de Desenvolvimento,Determinado,Ativa,2.0,0.00,435,215464,557.11,120.04,11.77,Milhões,BRIP11
BRIO REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,23.964.843/0001-03,Geral,Híbridos,Outros,Fundo de Desenvolvimento,Determinado,Ativa,1.5,0.00,702,124126,62.79,7.79,80.56,Milhões,BRIM11
BS2 ALLINVESTMENTS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.218.404/0001-33,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Fundo Misto,Indeterminado,Ativa,2.00,0.00,73,361129,51.55,18.62,1.70,Milhões,LLAO11
BRPR CORPORATE OFFICES FDO DE INV IMOB,48.978.859/0001-04,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,9.20,10345,11610801,110.14,1.28,0.55,Bilhão,BROF11
BTG PACTUAL HOTÉIS FII,18.308.516/0001-63,Geral,Híbridos,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,095,45.50,1611,9218501,64.97,598.96,0.31,Milhões,BTHI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA,36.642.244/0001-15,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,1.10,0.00,38231,5982725,116.48,696.85,0.95,Milhões,BTAL11
BTG PACTUAL REAL ESTATE HEDGE FUND FII - RESP LTDA,45.188.176/0001-57,Geral,Títulos e valores mobiliários,Híbrido,Fundo de Papel,Indeterminado,Ativa,,0.00,312534,205846929,10.25,2.11,0.11,Bilhões,BTHF11
BTG Pactual Fundo de CRI,09.552.812/0001-14,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,0.95,0.00,197647,99521161,10.07,1.00,0.10,Bilhão,BTCI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CORPORATE OFFICE,08.924.783/0001-01,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.25,11.50,118599,26638191,86.79,2.31,0.41,Bilhões,BRCR11
BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.839.593/0001-09,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.9,3.00,438512,53310341,102.92,5.49,0.79,Bilhões,BTLG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL TERRAS AGRÍCOLAS,41.076.607/0001-32,Geral,Renda,Fiagros,Outro,Indeterminado,Ativa,1.22,0.00,11825,3364548,111.90,376.51,0.80,Milhões,BTRA11
BTOWERS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.132.453/0001-89,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de Desenvolvimento,Indeterminado,Passiva,0.80,5.00,136,809258,118.32,95.76,0.95,Milhões,BTWR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS,33.046.142/0001-49,Investidor Qualificado,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,1.0,6.60,5985,7441734,123.60,919.82,0.92,Milhões,BPML11
CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II,31.887.401/0001-39,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,1.15,0.00,1193,690029,86.16,59.46,0.63,Milhões,CRFF11
CANUMA CAPITAL MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,43.010.844/0001-26,Geral,Híbridos,Outros,Fundo Misto,Indeterminado,Ativa,Taxa de gestão 1.20,2.20,9192,67797042,10.56,715.65,0.09,Milhões,CCME11
Classe Única do Capitânia HBC Renda Urbana,34.691.520/0001-00,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,1.00,2.10,1440,67347771,9.86,664.26,0.10,Milhões,CPUR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA IMÓVEIS CORPORATIVOS,38.658.984/0001-75,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.25,0.00,12355,3924489,96.51,378.77,0.91,Milhões,CXCO11
BTSP I FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.098.375/0001-83,Geral,Desenvolvimento para renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.20,0.00,101,775004,156.05,120.94,1.00,Milhões,BTSG11
BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.930.464/0001-44,Geral,Desenvolvimento para renda,Híbrido,Fundo de Desenvolvimento,Indeterminado,Ativa,,0.00,214,6373950,123.63,788.00,0.81,Milhões,BTSI11
CAIXA RIO BRAVO FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.098.794/0001-70,Geral,Híbridos,Híbrido,Fundo de Fundos,Indeterminado,Ativa,1.20,0.00,1750,1575749,86.84,136.84,0.60,Milhões,CXRI11
CAPITÂNIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,52.371.756/0001-40,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo Misto,Indeterminado,Ativa,,23.00,956,43542499,11.07,482.05,0.20,Milhões,CPLG11
CAPITÂNIA OFFICE FII - FDO DE INV IMOB,48.916.699/0001-60,Geral,Renda,Híbrido,Fundo Misto,Indeterminado,Ativa,,3.00,109,4772394,107.23,511.75,0.47,Milhões,CPOF11
BLUEMACAW CATUAÍ TRIPLE A FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.748/0001-55,Geral,Híbridos,Lajes Corporativas,Fundo Misto,Indeterminado,Ativa,1.15,0.00,459,1599989,129.19,206.70,0.50,Milhões,BLCA11
SHOPPINGS AAA FDO DE INV IMOB,47.896.665/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,2.90,27507,79699807,11.40,908.48,0.11,Milhões,CPSH11
CAPITANIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.979.895/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.05,0.00,355270,348245936,9.18,3.20,0.09,Bilhões,CPTS11
CARTESIA RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.065.364/0001-46,Geral,Híbridos,Híbrido,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,25417,4836313,74.73,361.41,1.35,Milhões,CACR11
CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.144.039/0001-85,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,105,23.20,2072,1414989,72.18,102.14,0.50,Milhões,CBOP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - CENESP,13.551.286/0001-45,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.30,59.40,83419,34134814,6.51,222.33, 0.00,Milhões,CNES11
CF3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.325.993/0001-59,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Fundo de Desenvolvimento,Determinado,Ativa,,0.00,96,126308,810.79,102.42,43.00,Milhões,CFII11
CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO,10.347.985/0001-80,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.70,32.40,824,3139989,73.66,231.28,0.42,Milhões,CJCT11
CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.508.923/0001-70,Investidor Qualificado,Híbridos,Outros,Fundo de Desenvolvimento,Indeterminado,Ativa,1,0.00,91,94589,26.58,2.51,10.62,Milhões,CFHI11
CLAVE ÍNDICES DE PREÇOS,49.005.348/0001-60,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,,0.00,12109,4346752,97.51,423.85,0.95,Milhões,CLIN11
CYRELA DESENVOLVIMENTO LOGÍSTICO FII,43.010.601/0001-98,Investidor Qualificado,Desenvolvimento para venda,Logístico / Indústria / Galpões,Fundo de Tijolo,Determinado,Ativa,,0.00,105,1241836,207.70,257.94, 0.00,Milhões,CYLD11
DAMA FUNDO DE INVESTIMENTO IMOBILIÁRIO,53.866.872/0001-01,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,,0.00,845,5537020,8.42,46.61,0.07,Milhões,DAMA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI INTEGRAL BREI,40.011.251/0001-96,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,3976,958412,91.05,87.26,0.70,Milhões,IBCR11
CYRELA CRÉDITO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.233/0001-15,Geral,Títulos e valores mobiliários,Outros,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,17573,36549434,9.42,344.22,0.11,Milhões,CYCR11
DAYCOVAL REAL ESTATE MULTIESTRATÉGIA FII RL,38.293.921/0001-62,Geral,Híbridos,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,,8.50,772,17100926,9.96,170.32,0.04,Milhões,DAYM11
ASA RETROFITS I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,451.880/3300-01,Investidor Qualificado,Híbridos,Híbrido,Fundo de Desenvolvimento,Determinado,Ativa,2.20,0.00,84,3989,9711.93,38.85, 0.00,Milhões,ASRF11
DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.087.810/0001-37,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,0.70,0.00,80225,14044897,98.08,1.38,0.40,Bilhão,DEVA11
EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.380/0001-25,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,1.00,0.00,9789,10909304,9.61,104.82,0.10,Milhões,EQIR11
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.317.313/0001-64,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de Desenvolvimento,Determinado,Passiva,1.45,0.00,424,147689,392.91,58.03,19.63,Milhões,KEVE11
EUROPA 105 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.469.385/0001-64,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.17,0.00,736,500911,165.58,82.94,0.93,Milhões,ERPA11
ESTOQUE RESIDENCIAL E COMERCIAL RJ FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.266.902/0001-84,Investidor Qualificado,Desenvolvimento para renda,Híbrido,Fundo de Tijolo,Indeterminado,Passiva,0.10,0.00,9,2365,14305.53,33.99,146.50,Milhões,ERCR11
FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I - FUNDO DE INVESTIMENTO IMOBILIÁRIO,33.884.145/0001-51,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,2806,751833,94.77,71.25,1.20,Milhões,FLCR11
EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.851/0001-03,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,,0.00,1564,14101444,9.84,138.72,0.13,Milhões,EXES11
