cotação,variação_12m,p_l,p_vp,dy,papel
10.40,54.84,2.55,0.36,0.00,cedo4
20.14,31.58,6.27,0.89,7.60,wlmm4
380.00,68.42,2.93,0.71,34.31,bmks3
21.50,43.42,2.23,0.72,0.00,aheb3
39.95,98.56,2.24,4.60,0.00,ctka4
207.02,209.06,17.16,1.82,10.68,tkno4
29.89,13.87,16.13,0.92,9.10,pati3
6.00,31.82,0.64,0.04,0.00,bdll4
11.10,10.36,18.24,1.16,9.40,fesa3
47.00,17.07,4.16,1.60,13.34,sond6
4.01,64.12,4.02,1.00,5.63,luxm4
12.00,46.19,2.94,0.41,0.00,cedo3
4.71,21.50,0.33,0.09,0.00,plas3
30.40,22.70,6.81,0.42,19.40,hbts5
5.50,50.68,1.72,0.08,0.00,estr4
3.12,32.47,0.19,0.02,0.00,snsy5
29.21,35.86,6.45,1.22,9.02,eqma3b
4.57,37.74,0.92,0.24,0.00,nord3
33.50,11.81,18.07,1.03,8.12,pati4
9.50,36.71,3.80,2.32,0.00,mwet4
3.76,9.15,51.86,0.41,0.29,dohl4
209.99,32.49,54.65,3.62,0.00,frio3
7.42,32.73,1.24,1.67,0.00,brkm6
52.01,34.61,11.39,2.87,9.84,enmt4
9.01,21.17,5.90,0.41,4.65,cbee3
7.49,17.12,15.30,1.85,5.90,aflt3
3.25,51.13,0.02,0.00,0.00,gshp3
6.59,10.23,8.85,2.88,10.00,eqpa6
105.00,12.43,3.76,0.68,5.55,bnbr3
22.50,90.64,8.91,1.21,10.16,balm3
34.00,25.55,7.62,1.33,3.17,mrsa3b
2.79,36.16,189.36,25.11,0.00,dtcy3
16.97,27.04,20.48,0.88,0.00,crpg6
18.00,11.46,10.80,0.60,7.82,bmin4
4.90,8.41,3.89,5.09,0.00,psvm11
19.50,,0.00,0.75,0.00,ccty3
50.00,33.64,8.70,2.32,2.17,bmeb3
24.60,14.66,5.52,0.96,4.26,mrsa6b
112.97,65.62,5.66,1.01,8.74,clsc3
37.00,7.96,21.36,0.77,2.28,peab3
5.36,28.64,7.20,2.34,10.54,eqpa5
38.01,21.57,4.60,1.16,15.58,ceeb5
15.01,3.19,5.76,0.66,8.47,brsr5
32.00,18.66,12.97,0.73,4.22,coce3
35.50,37.29,14.13,1.87,14.57,gepa3
