Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
1.58,-28.18,-0.07,-0.02,0.00,,PMAM3
10.55,22.03,7.62,1.35,8.50,,ITSA3
8.94,-29.24,3.63,0.46,0.24,,VTRU3
7.99,-51.42,10.08,0.67,0.45,,DESK3
17.78,164.19,-132.11,22.58,0.00,,AMBP3
4.29,-19.51,-0.27,2.40,0.00,,AERI3
3.96,-34.93,8.81,0.31,3.07,,ETER3
11.12,3.55,6.82,1.57,8.27,,TAEE4
14.77,31.72,111.04,28.87,1.62,,TFCO4
20.28,-16.18,6.73,0.96,7.64,,AGRO3
0.21,-99.07,-0.01,0.00,0.00,,PDGR3
55.22,15.46,9.60,2.36,9.11,,UNIP6
12.48,-2.14,7.58,0.77,6.64,,SANB3
4.40,15.34,7.39,2.41,17.63,,WHRL4
14.57,-6.23,4.91,0.66,12.67,,BRAP3
9.17,-10.85,5.57,1.26,9.20,,CAMB3
1.24,-12.06,-3.86,2.22,0.00,,AMAR3
13.77,-2.33,8.37,0.84,6.62,,SANB4
6.17,39.58,6.31,0.77,4.80,,TRIS3
1.35,-17.20,9.63,0.89,5.28,,LPSB3
1.08,-36.47,-3.57,0.53,0.00,,RNEW3
11.05,4.19,6.78,1.56,8.28,,TAEE3
13.34,11.25,3.17,0.89,4.86,,EALT4
16.90,20.34,6.50,0.59,4.32,,EUCA4
2.46,-2.38,9.80,0.72,3.97,,IGTI3
1.81,-34.18,-3.03,-2.97,0.00,,RCSL3
5.98,-40.38,9.93,0.60,3.36,,TASA3
5.98,17.25,6.04,0.94,3.96,,TECN3
17.16,-5.80,7.85,1.45,6.34,,CSUD3
1.32,-31.96,4.72,364.27,0.00,,BOBR4
8.13,14.15,6.92,0.48,16.36,,ALLD3
3.33,75.26,8.24,4.29,0.00,,FICT3
2.99,-18.08,-41.54,1.88,0.00,,ALPK3
3.71,16.60,7.48,0.36,5.18,,LVTC3
14.35,-2.95,8.90,0.53,4.38,,GGBR3
4.45,-39.70,11.59,0.25,0.00,,DMVF3
26.38,-9.03,-7.74,0.54,0.00,,NGRD3
71.99,-16.55,3.27,0.60,11.19,,BAZA3
9.15,-44.98,-0.79,-1.72,0.00,,BRKM3
9.04,-8.32,7.98,0.46,3.77,,GOAU3
2.89,6.64,-0.15,-0.03,0.00,,RPMG3
11.40,-11.63,7.12,1.45,5.22,,ENGI3
