Razão Social;CNPJ;PÚBLICO-ALVO;MANDATO;SEGMENTO;TIPO DE FUNDO;PRAZO DE DURAÇÃO;TIPO DE GESTÃO;TAXA DE ADMINISTRAÇÃO;VACÂNCIA;NUMERO DE COTISTAS;COTAS EMITIDAS;VAL. PATRIMONIAL P/ COTA;VALOR PATRIMONIAL;ÚLTIMO RENDIMENTO;Valor Patrimonial Unidade;Papel
RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO;17.329.029/0001-14;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,80;0,00;26.576;3.749.204;59,66;223,66;0,51;Milhões;RBFF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO - FII;15.576.907/0001-70;Geral;Desenvolvimento para renda;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;0,35;5,00;75.004;156.143.039;10,61;1,66;0,09;Bilhão;RBVA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO NEGRO;15.006.286/0001-90;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,22;18,70;7.661;2.675.989;83,80;224,25;0,29;Milhões;RNGO11
RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH YIELD FUNDO DE INVESTIMENTO IMOBILIÁRIO;37.899.479/0001-50;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;3.225;1.893.494;90,96;172,23;1,05;Milhões;RBHY11
RIZA ARCTIUM REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;28.267.696/0001-36;Geral;Híbridos;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;1,00;0,00;35.310;4.235.031;101,22;428,67;1,05;Milhões;RZAT11
SANTANDER PAPÉIS IMOBILIÁRIOS;51.646.298/0001-42;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;3.233;15.436.829;9,90;152,77;0,11;Milhões;SAPI11
RIZA AKIN FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.642.219/0001-31;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,20;0,00;45.120;8.807.874;85,07;749,31;1,15;Milhões;RZAK11
SANTANDER PAPEIS IMOBILIÁRIOS CDI FUNDO DE INVESTIMENTO IMOBILIÁRIO;32.903.521/0001-45;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;11.025;15.486.829;9,66;149,55;0,11;Milhões;SADI11
SANTANDER RENDA DE ALUGUÉIS FUNDO DE INVESTIMENTO IMOBILIÁRIO;32.903.702/0001-71;Geral;Renda;Híbrido;Fundo misto;Indeterminado;Ativa;1,25;39,80;28.226;92.343.279;7,75;715,85;0,03;Milhões;SARE11
SEQUOIA III RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO;09.517.273/0001-82;Geral;Renda;Outros;Outro;Indeterminado;Ativa;1,24;9,60;4.662;1.665.684;92,81;154,59;0,58;Milhões;SEQR11
