Razão Social;CNPJ;PÚBLICO-ALVO;MANDATO;SEGMENTO;TIPO DE FUNDO;PRAZO DE DURAÇÃO;TIPO DE GESTÃO;TAXA DE ADMINISTRAÇÃO;VACÂNCIA;NUMERO DE COTISTAS;COTAS EMITIDAS;VAL. PATRIMONIAL P/ COTA;VALOR PATRIMONIAL;ÚLTIMO RENDIMENTO;Valor Patrimonial Unidade;Papel
FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I;29.267.567/0001-00;fii.GENERAL;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,305;0,00;31.739;4.634.180;88,53;410,28;0,76;Milhões;BARI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI PRIME PROPERTIES;35.652.102/0001-76;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;1,0;20,90;160.154;27.130.056;107,82;2,93;0,45;Bilhões;PVBI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI LOGÍSTICO;30.629.603/0001-18;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;1,30;10,70;132.361;16.118.554;117,65;1,90;0,75;Bilhão;LVBI11
FUNDO DE INVESTIMENTO IMOBILIARIO TG ATIVO REAL;25.032.881/0001-53;Geral;Híbridos;Híbrido;Fundo de desenvolvimento;Indeterminado;Ativa;1,50;0,00;155.950;23.567.957;110,24;2,60;1,00;Bilhões;TGAR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA;27.368.600/0001-63;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,95;0,00;5.747;2.114.989;103,86;219,66;1,03;Milhões;VTLT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING;23.740.595/0001-17;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;0,75;5,10;3.197;2.098.789;115,50;242,41;0,47;Milhões;VSHO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO TOURMALET V - ED. CIDADE NOVA;34.197.700/0001-30;Investidor Qualificado;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,25;0,00;101;851.387;64,64;55,03; 0,00;Milhões;TCIN11
Galapagos Desenvolvimento Logistico Fundo de Investimento Imobiliario Responsabilidade Limitada;56.061.587/0001-01;Geral;Renda;Logístico / Indústria / Galpões;Outro;Determinado;Ativa;;0,00;1.968;369.900;110,70;40,95; 0,00;Milhões;GCDL11
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;15.447.108/0001-02;Investidor Qualificado;Híbridos;Híbrido;Fundo misto;Indeterminado;Ativa;;6,50;7.209;21.841.220;90,62;1,98;0,78;Bilhão;GZIT11
GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;38.293.897/0001-61;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;4.373;1.453.848;89,63;130,31;0,85;Milhões;GCRI11
GENERAL SHOP E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO;11.769.604/0001-13;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passiva;1,05;10,40;6.402;96.106.655;13,11;1,26; 0,00;Bilhão;GSFI11
GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;17.590.518/0001-25;Geral;Desenvolvimento para venda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passiva;0,20;8,00;11.971;2.849.989;76,27;217,38;0,48;Milhões;FIGS11
PLURAL LOGÍSTICA FDO. INV. IMOB.;36.501.198/0001-34;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,7;0,00;1.962;749.989;108,72;81,54;0,41;Milhões;GLOG11
VX XVI - FUNDO DE INVESTIMENTO IMOBILIÁRIO;30.982.974/0001-89;Investidor Qualificado;Renda;Outros;Fundo de desenvolvimento;Indeterminado;Ativa;0,35;0,00;13;276.435;614,42;169,85;93,02;Milhões;VXXV11
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING;01.201.140/0001-90;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passiva;0,1;2,40;14.879;4.709.071;106,95;503,64;0,50;Milhões;ABCP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN MULTIESTRATÉGIA I;41.269.052/0001-45;Geral;Títulos e valores mobiliários;Outros;Fundo de papel;Indeterminado;Ativa;1,10;0,00;21.859;21.697.666;9,31;201,97;0,10;Milhões;GAME11
GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;26.614.291/0001-00;Geral;Híbridos;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;1,10;1,40;185.949;152.455.655;11,05;1,69;0,10;Bilhão;GGRC11
HABITAT II - FUNDO DE INVESTIMENTO IMOBILIÁRIO;30.578.417/0001-05;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,20;0,00;61.297;8.126.772;93,72;761,61;1,05;Milhões;HABT11
FUND. DE INVEST. IMOBILIÁRIO GUARDIAN REAL ESTATE;37.295.919/0001-60;Geral;Híbridos;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;0,94;0,00;390.197;147.458.212;8,99;1,33;0,08;Bilhão;GARE11
HECTARE CE - FUNDOS INVESTIMENTO IMOBILIÁRIOS;30.248.180/0001-96;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,21;0,00;139.136;22.084.191;103,92;2,29;0,30;Bilhões;HCTR11
HEDGE AAA FUNDO DE INVESTIMENTO IMOBILIÁRIO;27.445.482/0001-40;fii.GENERAL;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,60;17,00;220;3.454.989;66,50;229,76;0,08;Milhões;HAAA11
HEDGE BRASIL LOGÍSTICO IND FUND INV IMOB RESP LIM;53.466.467/0001-98;fii.QUALIFIED_INVESTOR;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;;0,00;4.700;25.135.494;9,41;236,58;0,07;Milhões;HGBL11
HECTARE RECEBÍVEIS HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.508.959/0001-54;Geral;Títulos e valores mobiliários;Outros;Fundo de papel;Indeterminado;Ativa;0,20;0,00;605;1.199.989;93,52;112,22;0,65;Milhões;HCHG11
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;08.431.747/0001-06;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;0,60;4,90;131.851;129.132.999;21,57;2,79;0,15;Bilhões;HGBS11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FLORIPA SHOPPING;10.375.382/0001-91;fii.GENERAL;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passive;9,0;1,60;1.561;7.399.989;20,33;150,43;0,14;Milhões;FLRP11
HEDGE DESENVOLVIMENTO LOGÍSTICO FII;44.514.162/0001-13;Investidor Qualificado;Desenvolvimento para venda;Logístico / Indústria / Galpões;Fundo de Tijolo;Determinado;Passiva;;0,00;103;839.989;105,86;88,92;11,60;Milhões;HDEL11
HEDGE LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;27.486.542/0001-72;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,7;0,00;3.782;42.499.989;11,04;469,09;0,07;Milhões;HLOG11
HEDGE DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.688.460/0001-39;Investidor Qualificado;Desenvolvimento para venda;Lajes Corporativas;Fundo de desenvolvimento;Determinado;Ativa;0,85;0,00;113;3.369.989;95,45;321,68; 0,00;Milhões;HDOF11
HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOBILIÁRIO;31.894.369/0001-19;fii.GENERAL;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,80;52,00;5.092;3.778.990;56,95;215,22;0,21;Milhões;HOFC11
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.689.497/0001-81;Investidor Qualificado;Híbridos;Híbrido;Outro;Determinado;Ativa;;0,00;126;1.639.989;89,24;146,35;0,83;Milhões;SEED11
HEDGE SHOPPING PARQUE DOM PEDRO FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.586.415/0001-73;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passiva;0,50;3,10;353;3.287.989;92,53;304,24;0,56;Milhões;HPDP11
HEDGE RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.507.262/0001-21;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,70;0,00;2.577;51.685.906;8,66;447,49;0,09;Milhões;HREC11
HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO;18.307.582/0001-19;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,60;0,00;74.867;230.459.989;7,25;1,67;0,06;Bilhão;HFOF11
FUNDOS INVESTIMENTO IMOBILÍARIOS FII HOTEL MAXINVEST;08.706.065/0001-69;Geral;Renda;Hotéis;Fundo de Tijolo;Indeterminado;Ativa;0,50;32,00;37.023;2.888.083;144,46;417,22;1,05;Milhões;HTMX11
HGI CRÉDITOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;38.456.508/0001-71;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,75;0,00;607;462.695;110,53;51,14;0,80;Milhões;HGIC11
HSI ATIVOS FINANCEIROS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.360.687/0001-50;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;8.684;2.526.349;87,95;222,19;0,95;Milhões;HSAF11
HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;32.903.621/0001-71;fii.GENERAL;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,95;0,00;40.731;12.660.056;110,21;1,40;0,67;Bilhão;HSLG11
HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;32.892.018/0001-31;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;1,20;4,30;186.022;20.808.561;104,63;2,18;0,67;Bilhões;HSML11
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;08.098.114/0001-28;Geral;Renda;Híbrido;Fundo misto;Indeterminado;Ativa;0,90;4,20;368;8.898.713;89,52;796,63;0,85;Milhões;HSRE11
Icatu Vanguarda GRU Logístico;54.483.412/0001-59;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;;0,00;5.258;24.699.989;9,58;236,63;0,08;Milhões;GRUL11
INTER LOGÍSTICO  FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII;34.598.181/0001-11;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,31;0,30;17.651;4.512.092;100,26;452,38;0,76;Milhões;INLG11
JFDCAM FUNDO DE INVESTIMENTO IMOBILIÁRIO;15.489.509/0001-17;Investidor Qualificado;Renda;Híbrido;Fundo misto;Indeterminado;Ativa;;0,00;91;4.876.118;163,89;799,15;0,82;Milhões;VJFD11
JFL LIVING FI IMOBILIÁRIO CLASSE UNICA;36.501.181/0001-87;Geral;Renda;Outros;Fundo de Tijolo;Indeterminado;Ativa;1,15;31,00;2.549;1.500.587;107,42;161,19;0,40;Milhões;JFLL11
JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO;42.085.661/0001-07;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;22.040;77.523.279;8,94;692,92;0,09;Milhões;JSAF11
JPP ALLOCATION MOGNO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;30.982.880/0001-00;fii.GENERAL;Títulos e valores mobiliários;Híbrido;Fundo de papel;Indeterminado;Ativa;0,65;0,00;6.668;904.039;96,95;87,65;1,06;Milhões;JPPA11
JS REAL ESTATE MULTIGESTÃO - FII;13.371.132/0001-71;Geral;Híbridos;Híbrido;Outro;Indeterminado;Ativa;1;4,50;87.360;20.767.317;101,94;2,12;0,48;Bilhões;JSRE11
KINEA CREDITAS FUNDO DE INVESTIMENTO IMOBILIÁRIO;42.502.802/0001-40;Geral;Renda;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;15.726;35.999.989;9,36;336,94;0,09;Milhões;KCRE11
KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO;30.130.708/0001-28;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,60;0,00;25.791;28.169.496;98,09;2,76;1,30;Bilhões;KNHY11
KINEA INDICES DE PRECOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;24.960.430/0001-13;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00 ;0,00;72.629;80.078.175;90,83;7,27;0,70;Bilhões;KNIP11
KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII;12.005.956/0001-65;Geral;Renda;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;1,25;4,35;298.819;28.204.036;163,04;4,60;1,00;Bilhões;KNRI11
KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.864.448/0001-38;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,20;0,00;222.338;202.202.374;8,73;1,77;0,09;Bilhão;KNSC11
LAGO DA PEDRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO;37.262.752/0001-30;Investidor Qualificado;Desenvolvimento para venda;Outros;Outro;Indeterminado;Ativa;0,10;0,00;11;580.499;453,84;263,46;4,96;Milhões;LPLP11
KINEA RENDIMENTOS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;16.706.958/0001-32;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00 ;0,00;424.320;76.509.713;101,88;7,80;1,35;Bilhões;KNCR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO LEBLON REALTY DESENVOLVIMENTO I;41.088.534/0001-07;Investidor Qualificado;Híbridos;Híbrido;Fundo de desenvolvimento;Indeterminado;Ativa;;0,00;95;370.233;80,38;29,76; 0,00;Milhões;LRDI11
LEGATUS SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO;30.248.158/0001-46;Geral;Desenvolvimento para renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;1,10;4,30;416;2.940.287;135,04;397,05;0,75;Milhões;LASC11
Life Capital Partners Fund de Investimento Imob;39.753.295/0001-02;Geral;Híbridos;Outros;Outro;Indeterminado;Ativa;;0,00;17.646;37.901.296;9,98;378,07;0,12;Milhões;LIFE11
LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO;24.796.967/0001-90;Investidor Qualificado;Híbridos;Outros;Fundo de papel;Indeterminado;Ativa;0,20;0,00;747;664.989;56,89;37,83;3,67;Milhões;LFTT11
MANATÍ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO;42.888.583/0001-89;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Outro;Indeterminado;Ativa;1,00;0,00;28.034;37.536.129;9,24;346,97;0,11;Milhões;MANA11
MAUÁ CAPITAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOB;57.466.934/0001-30;Geral;Títulos e valores mobiliários;Logístico / Indústria / Galpões;Outro;Determinado;Ativa;;0,00;197;124.642.849;13,77;1,72;0,08;Bilhão;MCLO11
MAUÁ CAPITAL REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.655.973/0001-06;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,05;0,00;100.276;111.598.910;9,64;1,08;0,11;Bilhão;MCRE11
MÉRITO CEMITÉRIOS FII - FDO DE INV IMOB;46.157.247/0001-17;Geral;Híbridos;Outros;Outro;Indeterminado;Ativa;;0,00;178;2.959.866;34,75;102,87;0,67;Milhões;MCEM11
MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;97.521.225/0001-25;Geral;Híbridos;Híbrido;Fundo de papel;Indeterminado;Ativa;0,90;0,00;1.321.790;437.325.286;9,42;4,12;0,10;Bilhões;MXRF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO HOTÉIS;34.197.776/0001-65;fii.QUALIFIED_INVESTOR;Renda;Hotéis;Fundo de Tijolo;Indeterminado;Ativa;0,85;0,00;4.303;1.313.773;27,15;35,67;0,13;Milhões;MGHT11
NAVI IMOBILIÁRIO TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.652.252/0001-80;Geral;Renda;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,0;0,00;2.609;612.271;85,45;52,32;0,75;Milhões;NAVT11
NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;42.432.327/0001-82;Geral;Híbridos;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;1,35;20,00;8.325;4.612.216;9,80;45,19;0,09;Milhões;APTO11
NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO;14.793.782/0001-78;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,48;31,54;1.111;741.989;83,78;62,16;0,20;Milhões;NEWU11
NEWPORT LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;32.527.626/0001-47;Geral;Híbridos;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;0,95;0,00;9.956;2.810.182;128,24;360,39;0,95;Milhões;NEWL11
OCTO FDO DE INV IMOB;44.680.435/0001-08;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo misto;Indeterminado;Ativa;;0,00;473;422.975;86,95;36,78;0,66;Milhões;OCRE11
ONDA DESENVOLVIMENTO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO;52.966.340/0001-75;Geral;Híbridos;Híbrido;Fundo de desenvolvimento;Indeterminado;Ativa;15.000,00 ao mês ou 0,15;0,00;215;1.009.606;12,03;12,14;0,13;Milhões;ONDV11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANORAMA DESENVOLVIMENTO LOGÍSTICO;37.899.400/0001-90;Investidor Qualificado;Híbridos;Outros;Fundo de desenvolvimento;Determinado;Ativa;1,50;10,60;51;144.321;1.061,02;153,14;3,41;Milhões;PNDL11
OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO;26.091.656/0001-50;Geral;Títulos e valores mobiliários;Híbrido;Fundo de papel;Indeterminado;Ativa;1,05;0,00;25.260;3.252.373;99,97;325,13;1,00;Milhões;OUJP11
PÁTRIA EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;30.048.651/0001-12;fii.GENERAL;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;1,175;34,70;5.278;3.477.423;41,21;143,29;0,05;Milhões;PATC11
PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO;12.978.943/0001-72;Geral;Desenvolvimento para renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,2;0,00;465;13.991.879;55,36;774,66;0,47;Milhões;PQAG11
PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.754.164/0001-99;Geral;Desenvolvimento para renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,73;8,80;25.722;4.991.524;96,57;482,04;0,57;Milhões;PATL11
CSHG PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO;11.260.134/0001-68;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,625;0,00;10.114;1.753.046;141,91;248,77;130,40;Milhões;HGPO11
VECTIS RENDA RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;40.041.723/0001-53;fii.GENERAL;Renda;Outros;Fundo de Tijolo;Indeterminado;Ativa;0,80;19,00;3.585;1.999.989;126,69;253,39;0,50;Milhões;VCRR11
CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;11.160.521/0001-22;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,80;0,00;100.481;15.418.095;96,60;1,49;1,05;Bilhão;HGCR11
CSHG RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIÁRIO;29.641.226/0001-53;Geral;Renda;Híbrido;Fundo misto;Indeterminado;Ativa;0,90;0,80;221.408;23.238.013;127,47;2,96;0,95;Bilhões;HGRU11
PERFORMA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.736.510/0001-43;Investidor Qualificado;Títulos e valores mobiliários;Outros;Fundo de papel;Indeterminado;Ativa;0,10;0,00;288;551.989;61,30;33,84;0,69;Milhões;PEMA11
POLO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS II;17.156.502/0001-09;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,90;0,00;44.848;37.283.739;9,57;356,95;0,10;Milhões;PORD11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PLURAL RECEBÍVEIS;32.527.683/0001-26;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,20;0,00;14.030;2.109.158;91,08;192,11;0,80;Milhões;PLCR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - PRESIDENTE VARGAS;11.281.322/0001-72;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,375;100,00;820;230.063;140,39;32,30;14,10;Milhões;PRSV11
POLO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS I;14.080.689/0001-16;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;869;954.293;14,70;14,03;1,36;Milhões;PLRI11
Raizz Renda Logística;35.652.278/0001-28;Investidor Qualificado;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Passiva;0,20;0,00;432;4.813.161;166,30;800,42;1,20;Milhões;RZZR11
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL III FUNDO DE INVESTIMENTO IMOBILIÁRIO;19.249.989/0001-08;Investidor Qualificado;Desenvolvimento para venda;Outros;Fundo de desenvolvimento;Determinado;Ativa;2,00;0,00;134;149.000;1.050,34;156,51;49,74;Milhões;RSPD11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB CAPITAL I FUNDO DE FUNDOS;34.027.774/0001-28;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,80;0,00;4.014;1.078.153;69,02;74,41;0,65;Milhões;RFOF11
PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO;14.056.001/0001-62;Investidor Qualificado;Desenvolvimento para venda;Outros;Fundo de desenvolvimento;Determinado;Ativa;1,50;0,00;989;3.231.236;2,85;9,20;0,33;Milhões;PRSN11
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO;08.696.175/0001-97;Geral;Renda;Híbrido;Fundo de Tijolo;Indeterminado;Passiva;R$17.426,00 mensais;0,00;6.295;927.151;200,30;185,71;1,40;Milhões;FIIP11
RB CAPITAL LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.652.227/0001-04;Investidor Qualificado;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;1,00;0,00;241;640.188;65,31;41,81;0,61;Milhões;RBLG11
RB CAPITAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.689.733/0001-60;Geral;Renda;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,0;0,00;1.745;481.746;89,67;43,20;0,85;Milhões;RRCI11
RB CAPITAL TFO SITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO;29.299.737/0001-39;Investidor Qualificado;Híbridos;Outros;Fundo de desenvolvimento;Determinado;Ativa;0,12;0,00;133;56.514;379,42;21,45;6,19;Milhões;RBTS11
RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;27.529.279/0001-51;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,20;0,00;117.483;136.807.689;8,62;1,18;0,06;Bilhão;RBRF11
