Cotação,DY,P/VP,Liquidez Diária,Liquidez Unidade,VARIAÇÃO,Papel,Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Valor Patrimonial Unidade
10.888.00,0.00,1.12,380.66,K,7.89,ASRF11,ASA RETROFITS I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,451880/3300-01,Investidor Qualificado,Híbridos,Híbrido,Fundo de desenvolvimento,Determinado,Ativa,2.20,0.00,63,3989,9713.52,38.85, 0.00,Milhões
6.99,13.27,0.83,11.79,K,-21.72,DAMA11,DAMA FUNDO DE INVESTIMENTO IMOBILIÁRIO,53866872/0001-01,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.00,786,5537020,8.40,46.49,0.09,Milhões
95.00,0.00,0.79,1.60,M,-5.00,CYLD11,CYRELA DESENVOLVIMENTO LOGÍSTICO FII,43010601/0001-98,Investidor Qualificado,Desenvolvimento para venda,Logístico / Indústria / Galpões,Fundo de Tijolo,Determinado,Ativa,,0.00,107,1241836,120.48,149.61, 0.00,Milhões
53.70,18.81,0.60,136.37,K,-5.71,IBCR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI INTEGRAL BREI,40011251/0001-96,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.00,0.00,3866,958412,89.55,85.82,0.75,Milhões
8.59,14.12,0.92,513.33,K,0.94,CYCR11,CYRELA CRÉDITO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,36501233/0001-15,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,1.00,0.00,18046,36549434,9.35,341.69,0.11,Milhões
28.10,18.43,0.29,670.23,K,-12.63,DEVA11,DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,37087810/0001-37,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.70,0.00,87034,14044897,96.51,1.36,0.34,Bilhão
7.68,15.37,0.81,197.78,K,-1.41,EQIR11,EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41076380/0001-25,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,1.00,0.00,10041,10909304,9.49,103.51,0.10,Milhões
125.84,2.00,0.79,38.88,K,-6.09,ERPA11,EUROPA 105 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,31469385/0001-64,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.17,0.00,616,500911,159.49,79.89,0.94,Milhões
11.803.62,1.24,0.67,1.51,M,35.87,ERCR11,ESTOQUE RESIDENCIAL E COMERCIAL RJ FUNDO DE INVESTIMENTO IMOBILIÁRIO,37266902/0001-84,Investidor Qualificado,Desenvolvimento para renda,Híbrido,Fundo de Tijolo,Indeterminado,Passiva,0.10,0.00,10,2365,17505.82,41.59,146.50,Milhões
848.10,13.65,1.52,77.03,K,13.20,KEVE11,EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32317313/0001-64,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Determinado,Passiva,1.45,0.00,440,147689,557.96,82.41,34.53,Milhões
