Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
GRLV11,Logística,145.5,5.72,0.0,24.38,156199000,0,1,000,18300.0,0.0,3.69
GRUL11,,8.18,10.92,12.05,0.85,202046000,365886,1,43824.80,3804.92,8.68,0.0
GRWA11,,8.08,10.75,13.46,0.8,22288600,9369,0,000,0.0,0.0,0.0
GSFI11,Shoppings,8.29,0.0,0.0,0.63,796724000,3895130,0,000,0.0,0.0,0.0
GTLG11,Logística,63.99,13.75,0.0,0.7,459000000,0,5,2714.27,31812.0,11.72,1.69
GTWR11,Lajes Corporativas,76.49,13.14,12.71,0.77,917880000,671839,3,5512.44,77247.0,14.01,0.0
GURB11,Híbrido,108.0,10.46,0.0,0.94,122597000,0,2,21746.70,2369.56,10.9,9.7
GWIR11,Shoppings,175.99,2.8,0.0,0.74,67231200,0,0,000,0.0,4.21,0.0
GZIT11,Híbrido,46.01,10.24,19.98,0.51,1004920000,470898,6,8301.34,1079.24,13.0,2.36
HAAA11,Lajes Corporativas,53.88,3.42,2.99,0.81,186155000,4929,2,15024.40,1046.84,6.97,9.65
HABT11,Títulos e Val. Mob.,82.35,13.33,16.45,0.87,669241000,848976,0,000,0.0,0.0,0.0
HBCR11,Lajes Corporativas,138.0,7.28,11.63,1.11,220800000,446145,2,2569.55,42386.0,16.5,0.0
HBRH11,Híbrido,90.8,4.63,0.0,0.81,256345000,0,5,8349.82,60690.0,7.27,2.83
HBTT11,Títulos e Val. Mob.,1055.0,6.53,0.0,1.19,190126000,0,0,000,0.0,0.0,0.0
HCHG11,Outros,78.95,7.43,12.76,0.84,94740000,384625,0,000,0.0,0.0,0.0
HCRI11,Hospital,263.31,11.87,11.97,0.81,52662000,32281,1,9459.84,1217.22,12.87,0.0
HCTR11,Títulos e Val. Mob.,23.4,19.22,19.46,0.22,516770000,881347,0,000,0.0,0.0,0.0
HDEL11,Logística,100.01,24.19,37.35,0.96,84008400,0,1,2938.62,27571.0,9.38,0.0
HFOF11,Títulos e Val. Mob.,5.84,10.98,11.73,0.79,1345890000,1654650,0,000,0.0,0.0,0.0
HGAG11,Outros,14.05,7.14,18.17,0.6,3487940,1314,0,000,0.0,0.0,0.0
HGBL11,Logística,8.54,8.79,14.93,0.89,214657000,49196,1,1536.06,23249.0,15.14,0.0
HGBS11,Shoppings,19.3,7.99,9.86,0.89,2492270000,2228860,16,4362.62,41111.0,9.42,4.96
HGCR11,Títulos e Val. Mob.,94.68,12.45,12.53,0.97,1459790000,3572040,0,000,0.0,0.0,0.0
HGFF11,Títulos e Val. Mob.,65.95,13.41,13.38,0.81,188854000,465716,0,000,0.0,0.0,0.0
HGIC11,Títulos e Val. Mob.,66.73,6.2,15.83,0.6,30876400,27824,2,1332.80,0.0,0.0,0.0
HGJH11,Lajes Corporativas,191.29,9.55,0.0,0.55,335342000,0,2,26273.60,2781.84,10.59,3.42
HGLG11,Logística,156.12,7.46,8.39,0.96,5274920000,6035230,27,3198.48,25813.0,8.07,4.6
HGPO11,Lajes Corporativas,137.89,4.38,18.11,0.98,241729000,181272,0,000,0.0,0.0,0.0
HGRE11,Lajes Corporativas,116.7,6.61,9.72,0.75,1379130000,1498760,13,7442.02,73752.0,9.91,23.67
HGRU11,Híbrido,124.72,8.53,9.77,0.98,2898250000,3379160,104,4422.38,34059.0,7.7,0.82
HILG11,Outros,186.81,9.59,8.69,0.91,98309500,13,1,2981.09,35344.0,11.86,0.0
HLOG11,Logística,8.22,5.73,7.61,0.74,349350000,56949,4,1712.83,17937.0,10.47,2.96
HMOC11,Shoppings,226.95,2.17,0.0,0.95,86698800,0,0,000,0.0,3.27,0.0
HOFC11,Lajes Corporativas,31.4,0.26,0.0,0.48,118661000,272934,3,2594.05,40485.0,15.61,49.8
HOSI11,Híbrido,81.07,8.56,9.38,0.89,46489600,4123,2,000,0.0,0.0,0.0
HPDP11,Shoppings,86.03,7.77,7.59,0.93,282867000,239641,1,2092.00,17027.0,8.14,16.81
HRDF11,Híbrido,3.2,-0.43,0.0,0.45,4855760,703,0,000,0.0,0.0,0.0
HREC11,Títulos e Val. Mob.,8.22,11.46,12.27,0.94,424858000,316065,0,000,0.0,0.0,0.0
HRES11,Híbrido,149.25,14.91,16.52,1.16,69885100,0,0,000,0.0,0.0,0.0
HSAF11,Títulos e Val. Mob.,80.19,13.84,13.42,0.91,202589000,410116,0,000,0.0,0.0,0.0
