Cotação;DY;P/VP;Liquidez Diária;Liquidez Unidade;VARIAÇÃO;Papel
49,00;0,00;1,34;1,41;M;-13,20;PNPR11
114,46;10,16;0,73;1,33;M;13,44;HGRE11
61,70;14,41;0,77;551,19;K;-16,41;HGFF11
155,48;8,50;0,96;6,33;M;5,55;HGLG11
206,55;7,34;0,58;69,97;K;-10,76;FPAB11
92,41;11,13;0,93;38,28;K;25,01;RBIR11
99,73;9,96;0,82;1,65;M;2,72;PMLL11
250,00;14,59;0,96;21,39;K;1,98;TJKB11
7,85;14,92;0,97;1,02;K;5,94;RECD11
97,00;12,06;1,00;4,25;K;11,16;TSER11
37,20;22,64;0,36;1,07;M;-46,85;URPR11
40,10;14,34;0,62;48,26;K;19,24;RBRD11
82,70;10,95;0,79;395,30;K;16,30;RBRL11
9,48;11,18;1,03;30,44;K;5,69;TRXY11
81,01;12,98;0,92;1,26;M;6,31;XPCI11
