P/L,P/RECEITA_(PSR),P/VP,Dividend_Yield,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBIT,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel,EV/EBITDA,P/EBITDA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO
9.0,2.08,0.72,4.67,43.08,23.14,44.48,52.13,61.93,6.15,4.0,0.31,2.7,-0.39,52.66,4.2,0.15,7.98,11.34,3.44,0.43,0.57,2.29,7.57,8.71,ELET3,5.17,3.37,0.33,1.55,1.84,0.58
7.74,1.44,2.73,16.25,126.11,18.59,57.23,27.32,33.53,4.43,5.27,0.79,3.03,-1.5,1.87,0.66,0.55,35.3,20.47,10.23,0.29,0.71,2.24,7.11,-2.18,CMIN3,3.61,4.29,-0.44,-0.69,-0.84,0.96
26.14,2.02,2.19,2.76,74.87,7.73,41.79,22.78,47.71,11.06,8.87,0.66,8.38,-0.86,9.43,0.79,0.33,8.39,11.32,2.56,0.3,0.7,1.53,,,SMFT3,5.28,4.24,0.54,1.05,2.19,1.08
10.4,,2.94,8.31,86.81,0.0,0.0,0.0,0.0,9.1,9.37,2.89,22.69,-3.37,4.68,1.32,0.0,28.22,27.15,27.78,0.98,0.02,9.32,-100.0,17.53,CXSE3,,,-0.09,,-0.27,0.0
-44.41,0.53,1.09,7.43,-327.47,-1.2,46.91,1.66,7.11,33.96,32.28,0.47,3.25,-0.73,3.59,-0.09,0.88,-2.45,0.9,-1.05,0.43,0.57,1.68,18.69,,PETZ3,7.91,7.52,0.06,0.39,1.68,0.27
-0.76,0.09,-1.67,0.0,0.0,-11.75,7.72,-1.19,5.03,-46.06,-7.55,0.07,0.86,-0.12,-5.31,-11.64,0.83,-219.0,-12.82,-10.51,-0.04,1.04,1.32,6.16,,BRKM5,10.89,1.78,-8.52,9.09,-38.46,-11.6
12.49,4.87,2.23,4.42,49.75,38.96,81.07,66.12,71.39,9.81,7.36,1.07,30.87,-1.25,11.37,2.03,0.22,17.82,14.78,8.55,0.48,0.52,1.31,20.09,1.78,MULT3,9.09,6.82,0.74,2.27,2.45,0.87
13.97,1.86,1.96,9.01,94.82,13.33,53.3,22.19,49.44,7.98,8.39,0.85,-27.06,-1.1,10.1,1.42,0.46,14.03,20.33,6.08,0.43,0.57,0.88,8.32,13.23,TIMS3,3.58,3.77,-0.09,-0.18,-0.41,0.12
-28.35,1.32,1.44,0.0,-1.233.00,-4.66,-4.41,-4.41,-1.26,-16.33,-29.99,1.04,2.34,-2.85,4.04,-0.2,0.79,-5.07,-14.68,-4.19,0.72,0.26,3.35,25.02,,CASH3,-57.15,-104.92,-0.65,47.77,13.66,0.0
13.74,0.9,1.58,2.34,31.9,6.55,28.4,19.18,24.64,9.54,4.69,0.37,8.23,-0.47,21.46,2.47,0.41,11.53,10.85,3.37,0.23,0.73,1.24,21.4,2.47,EQTL3,7.43,3.65,1.64,3.78,4.86,2.03
43.68,1.54,1.11,0.0,0.0,3.53,31.26,17.71,31.44,14.61,8.71,0.39,5.7,-0.49,12.08,0.31,0.25,2.55,2.16,1.74,0.35,0.62,1.53,33.61,-1.12,ENEV3,8.23,4.9,0.75,3.33,5.91,1.0
11.54,0.69,1.19,4.52,51.64,5.94,60.89,17.03,32.31,8.87,4.03,0.37,5.77,-0.5,10.74,1.11,0.55,10.29,10.39,3.24,0.32,0.68,1.36,6.88,26.19,YDUQ3,4.68,2.12,1.43,2.56,4.85,1.73
5.42,,0.73,12.5,66.13,0.0,0.0,0.0,0.0,4.92,5.72,0.72,10.74,-0.78,22.05,2.97,0.0,13.47,12.75,13.27,0.99,0.01,5.83,-100.0,-4.47,BRAP4,4.92,5.72,-0.08,-0.64,-0.64,0.0
12.6,1.01,1.51,7.03,88.72,8.05,27.58,15.44,25.74,9.09,6.57,0.6,3.01,-0.92,9.55,1.15,0.59,12.01,9.47,4.61,0.39,0.6,2.29,21.27,18.92,FLRY3,5.46,3.94,0.58,1.51,2.52,1.05
27.59,7.27,2.01,3.25,66.23,26.33,63.86,53.76,68.83,13.02,13.52,1.08,8.07,-1.44,10.32,0.75,0.15,7.29,7.55,3.96,0.54,0.46,2.16,11.33,11.9,IGTI11,10.17,10.56,0.42,2.22,2.84,0.81
27.59,7.27,2.01,3.25,66.23,26.33,63.86,53.76,68.83,13.02,13.52,1.08,8.07,-1.44,10.32,0.75,0.15,7.29,7.55,3.96,0.54,0.46,2.16,11.33,11.9,IGTI11,10.17,10.56,0.42,2.22,2.84,0.81
18.08,1.44,2.95,2.27,41.7,7.95,19.38,15.5,18.78,9.0,9.27,0.71,2.15,-1.43,10.92,1.78,0.49,16.33,10.97,3.99,0.24,0.74,2.87,29.63,55.41,RDOR3,7.43,7.65,-0.09,-0.22,-0.27,1.51
3.27,2.03,0.61,7.26,23.75,62.12,58.77,90.78,95.03,4.33,2.24,0.24,1.38,-0.36,8.44,1.57,0.12,18.55,12.17,7.27,0.4,0.58,2.1,7.97,10.62,JHSF3,4.13,2.14,0.57,2.0,2.09,0.9
-30.65,0.7,0.33,0.0,0.0,-2.28,15.46,3.93,10.2,21.76,17.74,0.22,2.54,-0.26,97.22,-1.05,0.31,-1.08,1.06,-0.71,0.66,0.34,2.1,22.09,,HAPV3,8.39,6.84,0.08,1.55,4.02,0.27
12.49,0.38,0.61,14.95,182.11,3.02,61.77,22.82,33.86,4.82,1.65,0.15,1.22,-0.19,5.87,0.29,0.39,4.91,13.11,2.48,0.24,0.71,2.06,22.05,,ANIM3,3.25,1.11,1.17,2.13,3.17,1.76
13.46,4.23,0.86,5.18,62.73,31.4,74.1,59.06,81.36,9.03,7.16,0.44,4.51,-0.51,24.74,1.59,0.1,6.42,8.19,3.62,0.51,0.47,2.87,28.06,36.59,ALOS3,6.56,5.19,0.23,1.36,1.88,0.46
-0.39,0.67,0.14,0.0,0.0,-171.21,2.51,-159.37,-135.38,-0.96,-0.42,0.08,-0.5,-0.09,3.84,-1.41,0.12,-36.63,-37.0,-20.04,0.55,0.45,0.44,47.52,,AZEV4,-1.13,-0.49,0.19,-0.64,-0.54,0.2
7.16,1.93,1.91,3.48,24.9,26.93,53.87,43.91,50.46,5.56,4.39,0.86,67.27,-1.02,56.18,14.98,0.44,26.66,18.72,11.95,0.45,0.55,1.09,16.39,60.1,SBSP3,4.84,3.82,0.51,1.02,1.17,0.72
-68.63,1.32,1.7,3.88,-268.77,-1.92,40.54,31.11,50.78,9.07,4.23,0.42,3.06,-0.54,30.38,-0.75,0.32,-2.47,9.09,-0.59,0.25,0.75,2.61,10.2,,SUZB3,5.56,2.59,1.94,2.97,4.85,2.37
9.18,0.55,2.19,3.38,30.93,6.03,26.24,11.77,17.3,5.64,4.71,0.56,3.56,-1.12,9.54,2.28,1.01,23.89,16.65,6.81,0.26,0.72,1.46,9.98,25.23,BRFS3,3.84,3.2,0.43,0.63,0.93,1.24
12.7,0.63,1.5,2.39,0.0,4.95,54.88,10.61,12.72,5.83,5.92,0.53,4.87,-1.0,10.58,1.25,0.84,11.82,16.05,4.16,0.35,0.65,1.3,13.79,,CEAB3,4.86,4.94,-0.02,-0.08,-0.09,0.44
18.01,0.57,0.68,0.95,91.24,3.14,28.62,12.03,26.75,9.81,4.71,0.26,3.55,-0.35,8.38,0.31,0.46,3.75,6.7,1.49,0.38,0.6,1.37,6.88,-10.0,DXCO3,4.41,2.12,0.73,2.29,5.1,0.95
-15.83,0.09,1.32,1.67,-26.0,-0.56,25.58,16.3,26.35,7.12,0.54,0.04,0.42,-0.07,3.23,-0.27,0.51,-8.36,10.7,0.02,0.03,0.93,1.45,34.05,-47.9,SIMH3,4.4,0.33,16.11,4.07,6.58,20.98
-0.38,0.66,0.14,0.0,0.0,-171.21,2.51,-159.37,-135.38,-0.96,-0.41,0.08,-0.49,-0.09,3.84,-1.41,0.12,-36.63,-37.0,-20.04,0.55,0.45,0.44,47.52,,AZEV3,-1.13,-0.49,0.19,-0.64,-0.54,0.2
