Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,Papel,P/RECEITA_(PSR),PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Valor_de_mercado,Valor_de_firma,Patrimônio_Líquido,Nº_total_de_papeis,Ativos,Ativo_Circulante,Dívida_Bruta,Dívida_Líquida,Disponibilidade,Tag_Along,Segmento_de_Listagem,Free_Float,Setor,Segmento,Ticker_Img
"35,37","26,98","9,13","1,90","7,77",ITUB4,"1,08","67,61","11,84","39,07","13,67","0,00",,"7,48",,"7,91","0,14","0,76","-2,10","18,65","3,87","0,13","20,77","21,28","1,53",,,,,"0,07","0,92","1,24","15,22","23,22",360.996.546.000,360.996.546.000,201.140.000.000,10.784.548.000,2.802.812.000.000,2.620.833.000.000,,,38.893.000.000,"80,00",Nível_1,"52,98",Financeiro,Bancos,https://investidor10.com.br/storage/companies/66ace9528ffb2.jpg
"24,15","26,30","5,43","0,99","4,36",CYRE3,"1,11","13,41","20,48","32,60","24,36","25,56","5,76","6,04","4,35","4,56","0,42","1,07","-0,98","24,35","4,45","0,38","18,28","11,98","9,15","0,32","1,41","1,48","0,64","0,43","0,52","3,36","16,89","1,80",9.273.600.000,12.278.654.000,9.350.228.000,384.000.000,21.847.715.000,12.383.990.000,6.017.458.000,3.005.054.000,3.012.404.000,"100,00",Novo_Mercado,"66,22",Consumo_Cíclico,Incorporações,https://investidor10.com.br/storage/companies/66d9ad3f64d85.jpg
"40,39","-12,21","3,20","1,36","0,00",PRIO3,"2,32","0,00","72,61","43,99","40,30","62,21","5,57","8,60","3,73","5,76","0,66","6,35","-0,78","29,68","12,64","0,28","42,58","0,78","20,68","0,67","1,84","2,85","0,83","0,49","0,51","3,19","52,30","90,39",36.203.421.000,54.106.391.000,26.603.165.000,896.346.000,54.789.865.000,8.294.219.000,22.065.296.000,17.902.970.000,4.162.326.000,"100,00",Novo_Mercado,"89,53","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",https://investidor10.com.br/storage/companies/6838b0584e524.png
"34,19","-21,86","19,25","1,40","5,14",RENT3,"0,96","93,37","4,97","23,50","15,54","31,82","5,81","11,90","3,00","6,15","0,46","7,02","-0,58","24,42","1,78","0,48","7,28","8,59","2,37","1,31","2,81","5,75","1,62","0,33","0,67","1,43","30,31","12,90",37.014.802.000,71.644.160.000,26.432.564.000,1.082.620.000,80.956.256.000,17.543.980.000,42.798.938.000,34.629.358.000,8.169.580.000,"100,00",Novo_Mercado,"79,72",Consumo_Cíclico,Aluguel_de_carros,https://investidor10.com.br/storage/companies/66d8adc3dd336.jpg
"39,09","20,47","12,26","2,51","1,16",BPAC11,"3,41","26,93","27,80","20,14","30,51","0,00",,"14,20",,"11,17","0,30","-21,20","-2,24","15,59","3,19","0,09","20,45","22,18","2,45",,,,,"0,12","0,88","0,98","27,22","30,10",190.553.164.000,190.553.164.000,59.778.576.000,11.506.119.000,499.233.657.000,432.383.243.000,,,1.593.059.000,"100,00",Nível_1,"29,94",Financeiro,Bancos,https://investidor10.com.br/storage/companies/66cc8e7c56df1.jpg
"19,16","-28,08","57,71","0,80","0,00",BRAV3,"0,93","0,00","1,61","27,19","27,69","43,27","5,35","8,36","2,14","3,35","0,21","4,30","-0,25","24,02","0,33","0,22","1,38","9,09","0,35","1,19","3,21","5,01","1,59","0,26","2,96","1,40","115,95",,8.893.672.000,22.213.874.000,11.151.166.000,464.179.000,43.181.058.000,7.229.894.000,17.691.711.000,13.320.202.000,4.371.509.000,"100,00",Novo_Mercado,"99,91","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",https://investidor10.com.br/storage/companies/66db244b3edeb.jpg
"31,94","35,31","17,67","1,51","3,17",VIVT3,"1,79","126,35","10,12","44,08","15,54","41,26","4,79","12,71","4,33","11,50","0,81","-220,78","-1,03","21,10","1,81","0,46","8,57","9,75","4,61","0,16","0,46","1,21","0,30","0,54","0,46","0,98","5,98","4,08",103.055.899.000,113.917.485.000,68.076.737.000,3.226.546.000,126.475.682.000,26.337.387.000,20.315.690.000,10.861.586.000,9.454.104.000,"80,00",Tradicional,"24,64",Telecomunicações,Telecomunicações,https://investidor10.com.br/storage/companies/66cca176ba537.jpg
"16,71","-23,92","8,23","1,23","4,14",UGPA3,"0,14","34,50","1,66","7,16","3,51","4,18","5,42","6,46","3,27","3,89","0,49","2,97","-0,80","13,62","2,03","3,61","14,90","1,63","6,45","0,81","2,16","2,57","0,99","0,40","0,58","1,76","10,92","21,27",18.640.125.000,30.940.864.000,15.195.537.000,1.115.507.000,37.754.597.000,14.574.123.000,15.038.157.000,12.300.739.000,2.737.418.000,"100,00",Novo_Mercado,"97,66","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",https://investidor10.com.br/storage/companies/66cc9fcf3f7ff.jpg
"8,71","37,63","8,18","2,37","6,47",POMO4,"1,10","54,02","13,49","24,70","15,90","17,71","6,63","7,39","6,23","6,95","1,04","3,73","-2,62","3,67","1,06","0,94","28,97","14,89","12,84","0,32","0,85","0,95","0,79","0,44","0,55","1,87","20,08","68,13",9.171.311.000,10.528.195.000,4.175.411.000,1.136.271.000,9.494.733.000,5.717.711.000,3.311.553.000,1.356.884.000,1.954.669.000,"80,00",Nível_2,"76,12",Bens_Industriais,Material_Rodoviário,https://investidor10.com.br/storage/companies/66d9a9c3082e8.jpg
"3,40","27,34","-0,87","0,60","0,00",PCAR3,"0,09","0,00","-10,10","27,63","-1,47","4,68","4,56","-14,57","1,88","-5,99","0,09","-12,53","-0,12","5,64","-3,91","0,98","-69,32","-6,37","-9,87","0,86","2,69","-8,58","1,65","0,14","0,86","0,98","-18,03",,1.666.601.000,4.051.601.000,2.764.000.000,490.177.000,19.371.000.000,5.660.000.000,4.562.000.000,2.385.000.000,2.177.000.000,"100,00",Novo_Mercado,"77,40",Consumo_não_Cíclico,Alimentos,https://investidor10.com.br/storage/companies/65d34fe0d61b9.jpg
