Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
GALG11,Híbrido,9.08,7.99,0.0,0.98,1338920000,0,4,32763,2764.0,8.44,0.0
GAME11,Títulos e Val. Mob.,8.69,26.42,12.57,0.93,188553000,130432,0,000,0.0,0.0,0.0
GARE11,Híbrido,8.93,7.94,11.54,0.99,1316800000,5789750,4,19838,2224.0,11.21,0.0
GCFF11,Títulos e Val. Mob.,69.3,12.04,0.0,0.89,24981100,0,0,000,0.0,0.0,0.0
GCOI11,Híbrido,98.9,-3.35,0.0,1.02,11175700,322,5,6020.67,0.0,0.0,0.0
GCRA11,Títulos e Val. Mob.,50.98,14.25,14.94,0.59,89259100,130204,0,000,0.0,0.0,0.0
GCRI11,Títulos e Val. Mob.,64.0,14.56,15.98,0.71,93047000,155849,1,94731,0.0,0.0,0.0
GESE11B,Outros,1520.0,11.39,0.0,1.36,79040000,0,1,000,72537.0,0.0,0.0
GGRC11,Logística,10.04,8.99,11.49,0.9,1391980000,3430810,26,2228.44,18569.0,8.33,0.0
GLCR11,Híbrido,100.58,0.0,0.98,0.99,36219900,6514,0,000,0.0,0.0,0.0
GLOG11,Logística,62.55,14.67,8.8,0.58,46912500,20056,1,65277,12612.0,19.32,0.0
GLPF11,Logística,104.93,1.44,3.24,1.04,157920000,83108,0,000,0.0,0.0,0.0
GRLV11,Logística,145.5,5.72,0.0,24.38,156199000,0,1,000,18300.0,0.0,3.69
GRUL11,Logística,8.11,11.01,10.82,0.84,200317000,424176,1,43375.40,3804.92,8.77,0.0
GRWA11,Títulos e Val. Mob.,8.1,10.73,13.97,0.81,22343700,13564,0,000,0.0,0.0,0.0
GSFI11,Shoppings,8.22,0.0,0.0,0.63,789997000,5434380,0,000,0.0,0.0,0.0
GTLG11,Logística,63.99,13.75,0.0,0.7,459000000,0,5,2714.27,31812.0,11.72,1.69
GTWR11,Lajes Corporativas,77.45,12.97,12.45,0.78,929400000,797498,3,5583.58,77247.0,13.83,0.0
GURB11,Híbrido,108.0,10.46,0.0,0.94,122597000,0,2,21746.70,2369.56,10.9,9.7
GWIR11,Shoppings,175.99,2.8,0.0,0.74,67231200,0,0,000,0.0,4.21,0.0
GZIT11,Híbrido,45.94,10.25,20.01,0.5,1003390000,480272,6,8285.73,1079.24,13.03,2.36
HAAA11,Lajes Corporativas,49.16,3.75,3.15,0.73,169848000,826,2,13591.50,1046.84,7.7,9.65
HABT11,Títulos e Val. Mob.,81.8,13.42,16.4,0.87,664771000,876209,0,000,0.0,0.0,0.0
HBCR11,Lajes Corporativas,138.0,7.28,11.63,1.11,220800000,733688,2,2571.16,42386.0,16.49,0.0
HBRH11,Híbrido,90.8,4.63,0.0,0.81,256345000,0,5,8349.82,60690.0,7.27,2.83
HBTT11,Títulos e Val. Mob.,1055.0,6.53,0.0,1.19,190126000,0,0,000,0.0,0.0,0.0
HCHG11,Outros,77.67,7.55,12.77,0.81,93204000,369905,0,000,0.0,0.0,0.0
HCRI11,Hospital,267.32,11.69,11.78,0.82,53464000,23566,1,9604.46,1217.22,12.67,0.0
HCTR11,Títulos e Val. Mob.,23.22,19.37,19.38,0.22,512795000,882590,0,000,0.0,0.0,0.0
HDEL11,Logística,100.01,24.19,30.45,0.81,84008400,5,1,2531.27,27571.0,10.89,0.0
HFOF11,Títulos e Val. Mob.,5.78,11.1,11.97,0.8,1332060000,1532220,0,000,0.0,0.0,0.0
HGAG11,Outros,13.26,7.57,13.04,0.54,3291820,559,0,000,0.0,0.0,0.0
HGBL11,Logística,8.5,8.84,15.97,0.93,213652000,77907,1,1598.44,23249.0,14.54,0.0
HGBS11,Shoppings,19.69,7.83,9.74,0.91,2542630000,2423750,16,4449.82,41111.0,9.24,4.96
HGCR11,Títulos e Val. Mob.,93.56,12.6,12.58,0.96,1442520000,2995890,0,000,0.0,0.0,0.0
HGFF11,Títulos e Val. Mob.,67.03,13.2,13.2,0.82,191947000,404195,0,000,0.0,0.0,0.0
HGIC11,Títulos e Val. Mob.,70.73,5.85,15.22,0.64,32727200,22773,2,1373.89,0.0,0.0,0.0
