Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
"8,88","6,83","8,36","1,71","1,70",,BPAC5
"25,20","-30,77","37,56","2,67","0,00",,LOGN3
"8,44","-8,03","5,64","1,17","6,07",,BEES4
"11,55","2,38","6,16","0,45","9,53",,BRSR3
"5,77","-10,06","6,59","2,37","11,40",,EQPA3
"8,52","14,90","5,32","1,08","6,74",,ENGI4
"10,45","2,58","9,15","1,21","2,77",,ALUP3
"15,60","-46,56","-3,85","0,77","0,00",,CRPG5
"2,70","-51,44","-1,39","0,30","0,00",,CTSA4
"1,70","-52,78","-28,34","-3,82","0,00",,AVLL3
"39,12","17,95","8,77","2,16","2,87",,BMEB4
"4,83","-45,11","-2,73","0,24","0,00",,WEST3
"21,58","14,11","9,42","1,83","3,32",,OFSA3
"4,09","-68,54","-0,94","2,54","0,00",,MGEL4
"20,10","30,49","8,03","1,30","9,94",,CEBR5
"3,40","-36,80","-3,74","0,56","0,00",,RNEW11
"37,10","-4,95","4,39","1,15","4,97",,CEEB3
"28,99","-28,43","16,08","0,87","5,29",,EMAE4
"26,91","11,96","5,22","0,57","11,79",,CGRA3
"7,40","-10,19","25,85","1,25","1,32",,ALPA3
"48,69","2,22","8,46","2,08","9,31",,UNIP3
"19,47","11,00","7,78","1,26","10,14",,CEBR3
"102,80","51,78","5,38","1,03","9,41",,CLSC4
"16,09","72,12","5,08","0,86","8,44",,BALM4
"3,85","-6,10","0,08","-0,20","0,00",,NEXP3
"45,00","30,50","9,04","3,74","10,51",,EKTR3
"87,50","11,81","17,09","3,50","1,41",,BAUH4
"2,19","-32,20","-0,69","0,43","0,00",,RDNI3
"6,39","-2,31","10,16","3,24","6,73",,REDE3
"129,00","26,89","9,73","12,04","8,48",,CGAS5
"35,93","70,93","12,22","2,01","19,46",,GEPA4
"8,32","-13,06","5,81","0,91","6,47",,DEXP4
"26,14","88,60","12,80","-0,62","0,00",,MNPR3
"20,58","28,99","8,23","1,33","10,39",,CEBR6
