Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
LUGGO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,34.835.191/0001-23,Geral,Renda,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,"0,76% a.a","13,30%",8.158,1.130.695,"R$ 117,45","R$ 132,81 Milhões","R$ 0,60",LUGG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI LOGÍSTICO,30.629.603/0001-18,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"1,30% a.a","10,70%",131.406,16.118.554,"R$ 124,77","R$ 2,01 Bilhões","R$ 0,75",LVBI11
Genial Malls Fundo de Investimento Imobiliário,26.499.833/0001-32,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"0,50% a.a","4,00%",127.327,13.982.082,"R$ 121,03","R$ 1,69 Bilhão","R$ 0,85",MALL11
MANATÍ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.888.583/0001-89,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,"1,00% a.a.","0,00%",26.270,37.536.129,"R$ 9,29","R$ 348,69 Milhões","R$ 0,11",MANA11
MORE GESTÃO ATIVA DE RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.678/0001-35,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,"1,05% a.a. (mínimo R$25.000,00 mensais)","0,00%",320,425.957,"R$ 93,73","R$ 39,93 Milhões","R$ 0,60",MATV11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - MAX RETAIL,11.274.415/0001-70,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,15% a.a","26,00%",4.457,1.125.644,"R$ 104,39","R$ 117,51 Milhões","R$ 0,32",MAXR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MERCANTIL DO BRASIL,13.500.306/0001-59,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,3% a.a sobre patrimônio liquido (minimo R$18.000,00 mensais)","0,00%",3.628,101.653,"R$ 1.136,02","R$ 115,49 Milhões","R$ 10,00",MBRF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS,23.648.935/0001-84,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% ao ano sobre o patrimônio líquido do fundo","0,00%",107.283,16.960.013,"R$ 94,32","R$ 1,60 Bilhão","R$ 0,90",MCCI11
MÉRITO CEMITÉRIOS FII - FDO DE INV IMOB,46.157.247/0001-17,Geral,Híbridos,Outros,Outro,Indeterminado,Ativa,,"0,00%",144,2.927.254,"R$ 33,24","R$ 97,31 Milhões","R$ 0,48",MCEM11
MAUÁ CAPITAL HEDGE FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.642.139/0001-86,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,95% a.a.","0,00%",82.184,32.354.236,"R$ 9,15","R$ 295,96 Milhões","R$ 0,07",MCHF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL HIGH YIELD,36.655.973/0001-06,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,05% a.a. sobre patrimônio líquido","0,00%",93.661,111.598.910,"R$ 9,50","R$ 1,06 Bilhão","R$ 0,10",MCHY11
MAUÁ CAPITAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOB,57.466.934/0001-30,Geral,Títulos e valores mobiliários,Logístico / Indústria / Galpões,Outro,Determinado,Ativa,,"0,00%",188,124.642.849,"R$ 10,02","R$ 1,25 Bilhão","R$ 0,10",MCLO11
MAUÁ CAPITAL REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.655.973/0001-06,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,05% a.a. sobre patrimônio líquido","0,00%",100.276,111.598.910,"R$ 9,64","R$ 1,08 Bilhão","R$ 0,11",MCRE11
MERITO FUNDOS E AÇÕES IMOBILIÁRIAS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.397.369/0001-76,Geral,Híbridos,Híbrido,Fundo de fundos,Indeterminado,Ativa,"1,0% a.a sobre patrimônio líquido","0,00%",2.296,389.174,"R$ 70,57","R$ 27,46 Milhões","R$ 0,72",MFAI11
MÉRITO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,45.403.337/0001-88,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,"1,2% a.a. sobre o patrimônio líquido do fundo","0,00%",529,101.219,"R$ 24,11","R$ 2,44 Milhões","R$ 2,27",MFCR11
MÉRITO DESENVOLVIMENTO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.915.968/0001-88,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,"2,0% a.a","0,00%",33.185,5.962.384,"R$ 104,88","R$ 625,32 Milhões","R$ 1,10",MFII11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO CRI HIGH GRADE,35.652.204/0001-91,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a. sobre o valor patrimonial do fundo","0,00%",4.355,13.416.494,"R$ 9,78","R$ 131,24 Milhões","R$ 0,10",MGCR11
