Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING,23.740.595/0001-17,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"0,75% a.a","5,10%",3.267,2.098.789,"R$ 104,84","R$ 220,03 Milhões","R$ 0,70",VSHO11
VERSALHES RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.244.015/0001-42,Geral,Híbridos,Outros,Fundo de papel,Indeterminado,Ativa,"de 1,00% a.a até 0,80% a.a (mínimo R$17.000,00 mensais)","0,00%",70.250,29.864.080,"R$ 10,08","R$ 300,94 Milhões","R$ 0,03",VSLH11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA,27.368.600/0001-63,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a","0,00%",5.874,2.114.989,"R$ 104,95","R$ 221,97 Milhões","R$ 0,99",VTLT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PLUS,15.098.422/0001-19,Investidor Qualificado,Renda,Híbrido,Fundo de papel,Indeterminado,Passiva,"0,17% a.a. sobre patrimônio líquido","0,00%",119,1.386.231,"R$ 100,67","R$ 139,56 Milhões","R$ 5,11",VTPL11
V2 RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,23.120.027/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Determinado,Ativa,"0,90% a.a","0,00%",2.245,7.508.321,"R$ 10,26","R$ 77,06 Milhões","R$ 0,12",VVCR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MULTI RENDA URBANA,30.871.698/0001-81,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,"0,80% ao ano sobre o PL","33,47%",632,2.823.169,"R$ 107,22","R$ 302,70 Milhões","R$ 0,13",VVMR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - V2 PROPERTIES,33.045.581/0001-37,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,05% a.a. sobre o Patrimônio Líquido do Fundo","0,00%",1.367,2.305.760,"R$ 98,03","R$ 226,03 Milhões","R$ 0,89",VVPR11
V2 RENDA IMOBILIÁRIA FDO DE INV IMOB,49.184.940/0001-77,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,,"15,09%",160,802.672,"R$ 95,79","R$ 76,89 Milhões","R$ 0,90",VVRI11
VX XVI - FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.982.974/0001-89,Investidor Qualificado,Renda,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,"0,35% a.a. sobre patrimônio líquido","0,00%",13,276.435,"R$ 311,34","R$ 86,07 Milhões","R$ 93,02",VXXV11
WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.256.643/0001-88,Geral,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido","0,00%",13.715,30.912.368,"R$ 9,62","R$ 297,49 Milhões","R$ 0,10",WHGR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - SHOPPING WEST PLAZA,09.326.861/0001-39,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,55% a.a","8,00%",1.597,1.169.989,"R$ 66,80","R$ 78,16 Milhões","R$ 0,32",WPLZ11
WARREN SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,43.440.579/0001-16,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a.","0,00%",613,2.456.499,"R$ 8,10","R$ 19,90 Milhões","R$ 0,10",WSEC11
,,,,,,,,,,,,,,,WTSP11
XP CRÉDITO AGRÍCOLA,41.269.527/0001-01,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",97.455,45.523.065,"R$ 9,61","R$ 437,27 Milhões","R$ 0,11",XPCA11
XP CREDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.516.301/0001-91,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido","0,00%",67.825,8.701.541,"R$ 88,51","R$ 770,15 Milhões","R$ 0,95",XPCI11
XP CORPORATE MACAÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.802.320/0001-03,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,80% a.a","58,00%",17.950,2.414.559,"R$ 26,58","R$ 64,18 Milhões","R$ 0,02",XPCM11
XP HOTÉIS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.308.516/0001-63,Investidor Qualificado,Renda,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,"7,25% da receita mensal do fundo","0,00%",538,9.218.501,"R$ 42,74","R$ 393,97 Milhões","R$ 0,43",XPHT11
XP INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILIARIO,28.516.325/0001-40,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"Entre 3,5% e 7,25%","5,60%",43.999,7.150.411,"R$ 103,13","R$ 737,45 Milhões","R$ 0,74",XPIN11
XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.502.794/0001-85,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)","7,90%",340.267,31.175.920,"R$ 107,49","R$ 3,35 Bilhões","R$ 0,82",XPLG11
XP Malls Fundo de Investimento Imobiliario - Fii,28.757.546/0001-00,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"0,55% a.a","3,90%",598.434,56.720.776,"R$ 117,40","R$ 6,66 Bilhões","R$ 0,92",XPML11
XP Properties Fundo de Investimento Imobiliario,30.654.849/0001-40,Geral,Renda,Outros,Fundo misto,Indeterminado,Ativa,"0,95 a,a","47,00%",42.862,7.316.160,"R$ 60,68","R$ 443,95 Milhões","R$ 0,07",XPPR11
XP SELECTION FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO,30.983.020/0001-90,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"1% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)","0,00%",61.946,43.302.129,"R$ 7,72","R$ 334,22 Milhões","R$ 0,06",XPSF11
TRX EDIFICIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,15.006.267/0001-63,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,20%a.a. do PL","0,00%",4.242,2.088.365,"R$ 13,29","R$ 27,74 Milhões","R$ 11,16",XTED11
YAGUARA CAPITAL HIGH YIELD FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.267.696/0001-36,Investidor Qualificado,Híbridos,Outros,Fundo misto,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido",,0,0,"R$ 0,00",,"R$  0,00",YCHY11
YUCA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.445.551/0001-06,Investidor Qualificado,Renda,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,"0,10% a.a. sobre patrimônio líquido","11,00%",51,492.639,"R$ 74,87","R$ 36,88 Milhões","R$ 0,17",YUFI11
ZAGROS MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,45.188.066/0001-95,Investidor Qualificado,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,"1,5% a.a.","0,00%",408,8.891.651,"R$ 9,35","R$ 83,17 Milhões","R$ 0,07",ZAGH11
ZAVIT CRÉDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,52.101.897/0001-43,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,25% a.a.","0,00%",324,3.097.337,"R$ 9,99","R$ 30,95 Milhões","R$ 0,13",ZAVC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ZAVIT REAL ESTATE,40.575.940/0001-23,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,"1,25% a.a.","0,90%",3.210,1.173.311,"R$ 129,96","R$ 152,49 Milhões","R$ 1,18",ZAVI11
ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.820.768/0001-96,Geral,Desenvolvimento para renda,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,"1,00% a.a","0,00%",89,47.474,"R$ 1.770,28","R$ 84,06 Milhões","R$ 3,30",ZIFI11
