Papel;Setor;Preço Atual (R$);Liquidez Diária (R$);Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas
IBBP11;Indefinido;7,50;4.852,09;0,07;0,94 ;2,66 ;4,40 ;6,97 ;0,89 ;0,73 ;0,87 ;6,97 ;-6,27 ;-5,38 ;-9,04 ;398.731.792,73;;;;;;;24;60,41;500
IBCR11;Papéis;49,19;91.776,68;0,70;1,39 ;4,23 ;9,03 ;18,73 ;1,41 ;1,51 ;1,56 ;14,21 ;-6,55 ;-5,25 ;15,07 ;85.580.682,81;89,29;0,55;0,84 ;-4,93 ;-4,13 ;3,98 ;14;17,62;3.868
IBFF11;Fundo de Fundos;66,40;162.549,50;14,79;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;6,25 ;0,00 ;0,00 ;;118.155.565,38;14,78;4,49;100,08 ;-79,09 ;-58,15 ;-58,47 ;14;4,20;8.102
ICNE11;Imóveis Residenciais;653,96;;0,09;0,00 ;0,00 ;0,00 ;3,81 ;0,00 ;0,00 ;0,32 ;7,64 ;0,00 ;0,00 ;;84.924.325,35;;;;;;;14;3,75;5
ICRI11;Misto;90,41;416.551,82;0,85;0,92 ;3,15 ;6,60 ;15,71 ;1,05 ;1,10 ;1,31 ;12,29 ;0,88 ;1,81 ;22,41 ;385.945.294,18;;;;;;;14;18,79;8.625
IDFI11;Indefinido;2,00;2.592,80;1,56;78,04 ;0,00 ;0,00 ;78,04 ;0,00 ;0,00 ;6,50 ;1.043,04 ;-54,34 ;-18,70 ;44.259,43 ;3.283.391,87;1,60;1,25;269,79 ;-97,14 ;-89,43 ;-91,38 ;1;53,13;617
IDGR11;Misto;1,50;332,83;0,09;5,99 ;0,00 ;0,00 ;30,07 ;0,00 ;0,00 ;2,51 ;5,99 ;-50,98 ;-48,04 ;-48,04 ;79.368,95;;;;;;;1;92,54;171
IDUA11;Imóveis Comerciais - Outros;64,42;;0,64;0,00 ;0,00 ;0,00 ;4,50 ;0,00 ;0,00 ;0,38 ;12,00 ;0,00 ;0,00 ;;26.449.439,73;;;;;;;14;3,91;1
IFRA11;Indefinido;96,50;1.530.523,86;0,85;0,87 ;2,87 ;6,69 ;13,56 ;0,96 ;1,12 ;1,13 ;11,20 ;1,14 ;2,02 ;21,40 ;;;;;;;;0;19,42;0
IFRI11;Misto;99,80;1.711.348,77;1,20;1,22 ;3,01 ;5,71 ;13,52 ;1,00 ;0,95 ;1,13 ;11,17 ;0,87 ;2,10 ;28,03 ;;;;;;;;0;16,90;0
IMOV11;Indefinido;;;0,09;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;496.602.960,93;;;;;;;14;;13.026
INFA11;Outros;9,82;;0,09;0,00 ;0,00 ;0,92 ;16,31 ;0,00 ;0,92 ;2,04 ;14,56 ;0,00 ;0,00 ;;;;;;;;;0;2,41;0
INFB11;Indefinido;99,27;14.190,24;1,00;0,99 ;0,00 ;2,12 ;5,29 ;0,00 ;0,53 ;1,32 ;2,12 ;14,99 ;16,13 ;11,90 ;;;;;;;;0;89,46;0
INLG11;Imóveis Industriais e Logísticos;74,04;130.063,45;0,75;1,00 ;3,10 ;6,30 ;13,29 ;1,03 ;1,05 ;1,11 ;10,96 ;2,36 ;3,38 ;26,39 ;451.510.116,44;;;;;;;5;15,89;16.990
INRD11;Fundo de Desenvolvimento;73,06;43.873,91;0,65;0,88 ;2,66 ;5,30 ;11,15 ;0,89 ;0,88 ;0,93 ;9,29 ;2,86 ;3,77 ;29,46 ;134.160.107,87;;;;;;;5;19,27;6.822
IRDM11;Papéis;60,07;3.134.017,45;0,70;1,14 ;3,66 ;7,28 ;15,48 ;1,22 ;1,21 ;1,29 ;11,46 ;-0,66 ;0,47 ;22,27 ;2.918.626.316,97;80,11;0,75;0,97 ;-13,67 ;-12,83 ;-9,34 ;1;15,41;269.067
IRIF11;Papéis;8,60;32.398,36;0,11;1,27 ;0,00 ;3,95 ;6,43 ;0,00 ;0,66 ;1,07 ;6,43 ;2,24 ;3,54 ;10,55 ;;;;;;;;0;36,40;0
IRIM11;Indefinido;66,00;67.389,23;0,72;1,09 ;3,63 ;7,37 ;16,12 ;1,21 ;1,23 ;1,34 ;11,85 ;-1,08 ;-0,00 ;33,81 ;164.695.913,13;85,78;0,77;0,94 ;-11,86 ;-11,03 ;-7,64 ;14;18,74;3.062
ISCJ11;Papéis;50,71;6.417,00;1,60;3,16 ;73,25 ;74,22 ;110,63 ;24,42 ;12,37 ;9,22 ;115,01 ;20,74 ;24,55 ;19,18 ;32.247.797,88;;;;;;;14;388,82;69
ITIP11;Papéis;64,67;75.285,45;0,76;1,17 ;3,61 ;7,30 ;13,82 ;1,20 ;1,22 ;1,15 ;11,80 ;1,44 ;2,62 ;16,66 ;50.874.206,47;68,00;0,95;1,18 ;-15,10 ;-14,10 ;-12,05 ;14;13,61;8.477
ITIT11;Fundo de Fundos;68,85;79.585,23;0,63;0,92 ;2,78 ;5,52 ;11,28 ;0,93 ;0,92 ;0,94 ;9,42 ;2,38 ;3,32 ;18,64 ;67.415.241,06;74,86;0,92;0,84 ;-5,19 ;-4,39 ;2,02 ;14;12,75;10.088
ITRI11;Shoppings;79,95;820.482,27;0,82;1,01 ;3,13 ;6,26 ;12,82 ;1,04 ;1,04 ;1,07 ;10,59 ;6,83 ;7,91 ;24,05 ;576.532.525,20;;;;;;;14;17,08;13.960
IVCI11;Papéis;96,86;;0,72;0,00 ;0,00 ;1,83 ;8,33 ;0,00 ;0,31 ;0,83 ;5,17 ;0,00 ;0,00 ;;49.276.911,16;;;;;;;0;3,36;16
JASC11;Imóveis Comerciais - Outros;100,01;50.190,83;0,68;0,00 ;0,00 ;1,28 ;4,97 ;0,00 ;0,21 ;0,41 ;3,16 ;0,00 ;0,00 ;;395.048.968,54;;;;;;;19;52,07;165
JBFO11;Papéis;15,03;82,00;7,77;0,00 ;0,00 ;0,50 ;111,75 ;0,00 ;0,50 ;9,31 ;0,77 ;0,00 ;0,00 ;;9.919.792,95;;;;;;;14;105,39;369
JCCJ11;Papéis;167,00;48.898,10;0,34;0,00 ;0,21 ;0,73 ;2,47 ;0,21 ;0,73 ;0,21 ;1,58 ;0,00 ;0,00 ;;314.975.563,83;;;;;;;14;19,29;121
JCIN11;Fundo de Fundos;150,00;23.885.176,33;0,62;0,00 ;0,00 ;0,37 ;2,74 ;0,00 ;0,37 ;0,23 ;1,52 ;0,00 ;0,00 ;;207.953.728,58;;;;;;;14;20,90;4
JFLL11;Imóveis Residenciais;68,00;43.303,27;0,40;0,59 ;2,35 ;4,69 ;9,32 ;0,78 ;0,78 ;0,78 ;8,44 ;-0,03 ;0,56 ;8,47 ;161.050.615,90;107,32;0,63;0,37 ;6,28 ;6,67 ;15,92 ;233;17,74;2.514
JGPX11;Indefinido;72,01;215.576,95;1,24;1,69 ;5,10 ;7,99 ;14,40 ;1,70 ;1,33 ;1,20 ;12,17 ;2,53 ;4,26 ;50,75 ;205.928.866,53;96,17;0,75;1,25 ;0,21 ;1,46 ;12,50 ;0;32,85;5.743
JMBI11;Outros;84,97;538.210,45;1,16;1,34 ;2,86 ;6,91 ;12,26 ;0,95 ;1,15 ;1,11 ;12,26 ;2,82 ;4,20 ;19,32 ;;;;;;;;0;38,67;0
JPPA11;Papéis;78,73;86.196,27;1,06;1,33 ;4,01 ;8,32 ;17,55 ;1,34 ;1,39 ;1,46 ;14,60 ;-0,49 ;0,84 ;29,10 ;88.220.895,08;97,58;0,81;1,09 ;-0,75 ;0,33 ;12,91 ;14;14,35;6.577
JSAF11;Fundo de Fundos;7,40;1.444.797,14;0,09;1,12 ;3,51 ;7,05 ;14,90 ;1,17 ;1,18 ;1,24 ;12,47 ;3,26 ;4,41 ;17,68 ;690.136.713,71;8,90;0,83;1,02 ;-90,53 ;-90,43 ;-89,67 ;14;24,13;21.999
JSCR11;Papéis;7,97;253.418,59;0,10;1,16 ;3,49 ;7,00 ;49,51 ;1,16 ;1,17 ;4,13 ;24,10 ;1,49 ;2,67 ;43,54 ;206.643.404,44;;;;;;;14;30,73;3.589
JSRE11;Misto;61,65;1.570.989,91;0,48;0,77 ;2,29 ;4,55 ;9,84 ;0,76 ;0,76 ;0,82 ;8,11 ;-0,71 ;0,06 ;24,60 ;2.117.761.319,72;101,98;0,60;0,47 ;-9,73 ;-9,30 ;-5,33 ;6;19,00;86.486
JURO11;Indefinido;101,50;2.860.581,64;1,00;1,02 ;2,06 ;5,18 ;10,94 ;0,69 ;0,86 ;0,91 ;8,82 ;1,34 ;2,37 ;14,82 ;;;;;;;;0;15,93;0
KCRE11;Indefinido;8,45;276.397,82;0,09;1,05 ;3,37 ;7,54 ;14,72 ;1,12 ;1,26 ;1,23 ;12,71 ;0,23 ;1,29 ;22,28 ;339.038.078,23;9,42;0,90;1,17 ;-90,38 ;-90,27 ;-90,16 ;14;16,24;15.827
KDIF11;Indefinido;123,80;2.123.333,95;1,28;1,04 ;2,91 ;5,84 ;12,48 ;0,97 ;0,97 ;1,04 ;10,43 ;1,31 ;2,36 ;18,77 ;;;;;;;;0;17,00;0
KDOL11;Misto;90,55;88.434,05;0,44;0,47 ;1,50 ;2,96 ;5,52 ;0,50 ;0,49 ;0,55 ;4,99 ;-0,21 ;0,25 ;-1,08 ;65.919.149,56;98,24;0,92;0,46 ;0,00 ;0,00 ;0,00 ;0;22,31;1.874
KEVE11;Fundo de Desenvolvimento;885,98;10.912,00;34,53;0,00 ;0,00 ;0,00 ;25,58 ;0,00 ;0,00 ;2,13 ;8,59 ;0,00 ;0,00 ;;84.191.580,80;557,95;1,59;6,19 ;-40,15 ;-36,44 ;-38,89 ;14;181,02;441
KFEN11;Indefinido;1.100,00;1.571,43;8,00;0,00 ;0,00 ;1,27 ;4,40 ;0,00 ;0,21 ;0,55 ;4,40 ;0,00 ;0,00 ;;168.309.735,79;;;;;;;14;31,84;129
KFOF11;Fundo de Fundos;79,00;660.690,59;0,80;1,00 ;2,98 ;5,79 ;12,42 ;0,99 ;0,97 ;1,04 ;10,26 ;0,54 ;1,55 ;26,48 ;617.251.205,38;88,00;0,90;0,85 ;-3,16 ;-2,33 ;3,11 ;14;17,00;29.434
