valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel
5807427000,25738302000,3777957000,696334000,32690853000,4228476000,22912406000,19930875000,2981531000,100.00,novo mercado,47.92,bens industriais,exploração de rodovias,ecor3
109309000,10148819000,15495962000,330121000,18729654000,4601185000,11188856000,10039510000,1149346000,100.00,nível 1,90.04,telecomunicações,telecomunicações,oibr3
4799491000,3476076000,4019472000,902160000,4456298000,2912340000,86407000,1323415000,1409822000,100.00,novo mercado,29.67,consumo cíclico,calçados,grnd3
121695606000,121695606000,123852072000,7498531000,1263370224000,1126051979000,,,21583905000,100.00,nível 1,9.88,financeiro,bancos,sanb11
7367008000,7657237000,2762509000,236197000,4286200000,2704470000,476314000,290229000,186085000,100.00,novo mercado,53.31,consumo cíclico,acessórios,viva3
13173164000,15427594000,3737484000,674854000,14217072000,7341600000,4953746000,2254430000,2699316000,100.00,nível 1,58.62,bens industriais,serviços diversos,ggps3
1334062000,3240417000,1232630000,346509000,4585303000,1465549000,2529687000,1906355000,623332000,100.00,nível 1,49.46,bens industriais,construção pesada,arml3
3967370000,3760154000,3154380000,327611000,5591369000,4110059000,1047917000,207216000,1255133000,100.00,novo mercado,34.93,telecomunicações,telecomunicações,intb3
571544000,2101503000,1461366000,133851000,6462804000,3179783000,1740375000,1529959000,210416000,100.00,novo mercado,49.01,consumo cíclico,incorporações,hbor3
425258000,453887000,448152000,195072000,3666739000,2656845000,559508000,28629000,530879000,100.00,novo mercado,95.63,consumo não cíclico,produtos diversos,ljqq3
3242342000,6407755000,4729060000,651072000,13876752000,4603207000,4374226000,3165413000,1208813000,100.00,nível 1,31.40,bens industriais,máquinas e equipamentos industriais,cbav3
26754013000,55850701000,18226858000,2289424000,79416800000,17857182000,37814302000,29096688000,8717614000,100.00,nível 2,71.31,utilidade pública,energia elétrica,engi11
42007913000,58990052000,25596150000,2982810000,60742037000,12093928000,19887878000,16982139000,2905739000,100.00,nível 2,100.00,utilidade pública,energia elétrica,cple3
2892714000,3322180000,1179662000,123094000,5850578000,3647393000,1190673000,429466000,761207000,100.00,novo mercado,98.69,consumo cíclico,incorporações,tend3
15867191000,23142202000,12254236000,633420000,25153665000,6287208000,9138773000,7275011000,1863762000,100.00,novo mercado,64.65,saúde,medicamentos e outros produtos,hype3
4319630000,183527000,5207666000,82263000,15788614000,5780296000,,4503158000,4503158000,100.00,novo mercado,99.48,financeiro,seguradoras,irbr3
3712017000,4884867000,4438631000,293440000,7201845000,1135282000,1824398000,1172850000,651548000,100.00,nível 1,93.96,petróleo. gás e biocombustíveis,exploração. refino e distribuição,recv3
6004723000,8214922000,8339548000,206489000,15516832000,6865973000,3033361000,2210199000,823162000,100.00,novo mercado,56.14,consumo cíclico,tecidos. vestuário e calçados,azza3
8884935000,8875958000,2203628000,520500000,11566858000,5250822000,2115603000,8977000,2124580000,100.00,novo mercado,62.51,consumo cíclico,incorporações,dirr3
1059285000,2167285000,4376000000,200243000,16175000000,6356000000,1883000000,1108000000,775000000,0.10,nível 1,69.88,consumo cíclico,produtos diversos,amer3
7279473000,13111907000,5179102000,443329000,17610712000,7720453000,6982046000,5832434000,1149612000,100.00,novo mercado,43.81,consumo não cíclico,agricultura,slce3
5841479000,5841479000,10833866000,408974000,156338226000,146627096000,,,3435018000,100.00,nível 1,50.61,financeiro,bancos,brsr6
721396000,1667293000,1312984000,284014000,3801619000,1199774000,1381411000,945897000,435514000,0.10,novo mercado,98.05,saúde,serviços médicos. hospitalares. análises e diagnósticos,qual3
