p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebitda,ev_ebit,p_ebitda,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,papel,cagr_lucros_5_anos
14.76,2.26,2.36,7.69,87.41,15.30,53.44,23.24,49.92,4.24,9.11,4.52,9.71,1.04,100.33,1.37,10.42,1.66,0.46,15.98,21.10,7.02,0.15,0.28,0.60,0.11,0.44,0.56,0.96,8.81,tims3,16.92
9.54,0.35,0.56,1.61,15.37,3.62,61.00,23.44,33.82,4.09,5.90,1.02,1.47,0.13,1.03,0.18,5.89,0.35,0.39,5.91,11.37,2.80,1.69,3.07,4.42,2.30,0.24,0.70,2.22,22.23,anim3,
23.98,1.87,3.89,1.89,45.31,7.79,19.84,15.96,19.30,9.43,11.40,9.68,11.70,0.93,2.75,1.94,11.08,1.80,0.50,16.22,11.73,3.99,0.10,0.25,0.30,1.50,0.24,0.74,2.89,30.36,rdor3,55.80
32.06,0.65,0.32,0.00,0.00,2.02,17.31,5.80,11.89,6.72,13.76,5.46,11.19,0.21,2.45,0.25,96.64,0.95,0.32,0.99,1.71,0.64,0.07,1.26,2.58,0.27,0.65,0.35,2.05,22.54,hapv3,
3.97,2.50,0.76,5.69,22.24,62.89,58.86,92.95,96.72,4.50,4.68,2.58,2.69,0.29,1.37,0.46,8.79,1.68,0.12,19.08,12.37,7.35,0.56,1.92,1.99,0.93,0.39,0.59,2.48,9.20,jhsf3,12.21
13.43,0.74,1.32,4.14,55.24,5.49,61.02,16.26,31.24,5.01,9.62,2.36,4.54,0.42,8.06,0.55,10.52,1.03,0.57,9.82,9.90,3.11,1.48,2.64,5.08,1.74,0.32,0.68,1.28,7.13,yduq3,24.43
32.58,8.58,2.38,2.76,66.27,26.33,63.86,53.76,68.83,11.06,14.16,12.46,15.96,1.27,9.53,1.70,10.32,0.75,0.15,7.29,7.55,3.96,0.42,2.22,2.84,0.81,0.54,0.46,2.16,11.33,igti11,11.90
13.10,1.01,1.48,6.86,89.37,7.73,26.92,15.06,25.69,5.57,9.50,3.94,6.72,0.61,3.02,0.91,9.83,1.11,0.60,11.27,9.35,4.46,0.61,1.63,2.78,1.00,0.41,0.58,2.51,21.42,flry3,17.83
6.87,,0.85,10.74,71.35,0.00,0.00,0.00,0.00,6.80,6.80,7.34,7.34,0.84,29.82,0.87,22.31,2.75,0.00,12.34,11.54,12.27,0.03,0.29,0.29,0.00,0.99,0.01,6.50,100.00,brap4,5.91
18.47,4.86,1.01,4.88,89.33,26.33,74.56,55.52,77.32,4.92,6.85,6.29,8.76,0.52,5.43,0.60,24.77,1.36,0.11,5.48,11.23,3.19,0.22,1.37,1.91,0.00,0.51,0.46,2.91,28.57,alos3,33.05
0.54,0.35,0.09,0.00,0.00,65.71,0.65,27.51,9.60,46.04,16.07,3.70,1.29,0.03,0.40,0.04,4.17,0.67,0.09,16.00,8.30,5.69,0.99,42.34,14.77,1.01,0.36,0.64,0.74,53.88,azev4,
10.64,0.09,1.21,1.52,16.08,0.89,25.94,16.44,26.64,4.41,7.14,0.36,0.58,0.05,0.44,0.07,3.85,0.44,0.51,11.36,11.15,0.22,13.73,4.05,6.57,17.42,0.04,0.92,1.46,34.24,simh3,
22.33,0.52,0.63,1.02,122.20,2.31,25.33,10.44,25.75,4.41,10.87,2.01,4.94,0.24,4.81,0.33,8.30,0.23,0.46,2.83,6.36,1.18,0.76,2.40,5.92,0.97,0.38,0.61,1.22,7.21,dxco3,14.12
9.75,0.61,1.42,2.41,0.00,6.26,55.09,12.29,14.32,4.49,5.24,4.26,4.97,0.55,3.57,1.04,11.21,1.63,0.90,14.53,18.15,5.66,0.08,0.23,0.27,0.37,0.39,0.61,1.49,14.45,ceab3,
7.99,1.22,1.45,4.16,32.59,15.26,37.73,26.63,47.00,5.55,9.80,2.59,4.58,0.39,2.29,0.52,34.12,6.19,0.32,18.14,7.74,4.93,1.65,2.96,5.22,2.12,0.27,0.73,3.16,10.99,suzb3,
8.19,2.27,2.26,2.81,22.84,27.76,53.06,44.30,49.87,5.72,6.44,4.56,5.13,1.03,32.98,1.21,59.17,16.33,0.45,27.61,18.05,12.58,0.58,1.16,1.31,0.77,0.46,0.54,1.26,17.71,sbsp3,62.90
8.42,0.47,1.79,15.55,130.95,5.61,26.31,11.49,17.02,3.29,4.88,2.78,4.11,0.47,2.70,0.96,10.01,2.13,0.99,21.28,15.80,6.10,0.34,0.52,0.77,1.23,0.26,0.72,1.52,10.13,brfs3,23.05
0.54,0.35,0.09,0.00,0.00,65.71,0.65,27.51,9.60,46.04,16.07,3.70,1.29,0.03,0.40,0.04,4.17,0.67,0.09,16.00,8.30,5.69,0.99,42.34,14.77,1.01,0.36,0.64,0.74,53.88,azev3,
8.13,0.70,0.99,2.83,22.85,8.58,27.29,20.32,26.15,6.16,7.93,2.67,3.43,0.32,8.89,0.39,29.82,3.63,0.45,12.18,11.46,3.91,1.30,3.50,4.50,1.47,0.32,0.68,1.23,9.95,neoe3,8.84
10.63,1.76,1.67,4.70,37.00,16.55,42.25,23.95,35.08,7.11,10.41,5.01,7.34,0.86,43.64,0.99,22.65,3.55,0.49,15.68,10.59,8.05,0.70,2.09,3.07,0.77,0.51,0.49,1.17,8.84,csmg3,10.59
17.53,0.69,1.04,5.58,35.48,3.94,35.93,22.91,35.77,4.79,7.48,1.93,3.01,0.28,1.49,0.41,3.56,0.21,0.41,5.95,11.21,1.70,1.55,2.86,4.47,2.05,0.27,0.72,2.42,76.73,arml3,26.56
0.05,0.42,0.01,0.00,0.00,808.94,830.11,402.10,117.11,38.02,11.07,0.36,0.10,0.01,0.03,0.01,46.94,5.58,0.01,11.89,21.71,9.84,0.65,37.64,10.96,0.72,0.83,1.83,0.59,52.36,oibr3,
10.91,2.65,2.66,2.16,23.14,24.29,71.05,25.17,30.64,8.99,10.94,8.65,10.53,1.71,3.59,4.65,11.70,2.85,0.65,24.39,19.28,15.72,0.11,0.34,0.42,0.17,0.64,0.36,4.13,21.51,viva3,35.65
7.39,0.53,1.48,3.89,28.46,7.21,39.40,35.59,46.76,5.21,6.84,1.14,1.50,0.17,3.45,0.20,5.43,1.08,0.32,19.99,11.11,2.26,5.28,4.07,5.35,6.06,0.12,0.88,0.72,21.24,ecor3,
8.13,0.84,1.22,4.13,33.64,10.34,29.64,9.41,11.90,6.68,8.45,7.06,8.93,0.69,1.55,2.60,9.63,1.45,0.82,15.01,9.73,8.47,0.07,0.38,0.48,0.33,0.56,0.43,2.54,16.50,intb3,7.61
9.82,0.77,0.97,5.97,53.66,7.87,35.26,10.73,0.00,,7.19,,7.21,0.09,0.91,0.87,33.03,3.24,0.12,9.82,10.90,1.01,,,,,0.10,0.90,1.13,19.97,sanb11,1.12
5.76,1.71,1.16,11.21,64.87,29.72,47.38,19.68,22.80,5.39,6.24,7.51,8.71,1.05,1.87,3.03,4.46,0.90,0.61,20.17,11.68,18.20,0.33,2.13,2.47,0.02,0.90,0.10,6.97,7.54,grnd3,14.88
19.53,0.76,3.39,1.72,33.64,3.91,14.47,8.31,10.39,8.65,10.82,7.34,9.19,0.89,3.03,1.84,5.54,0.96,1.17,17.38,12.61,4.64,0.60,1.31,1.63,1.33,0.26,0.74,2.33,,ggps3,
17.28,0.37,0.75,0.00,0.00,2.15,11.05,8.33,16.26,4.57,8.93,2.29,4.46,0.24,1.67,0.36,6.70,0.29,0.66,4.32,7.48,2.20,0.75,2.29,4.46,0.90,0.33,0.66,1.86,,cbav3,
7.39,0.79,2.42,2.48,5.43,10.69,29.38,11.13,13.15,6.91,8.16,6.00,7.09,0.49,1.54,1.30,9.58,3.14,0.62,32.79,15.52,6.45,0.36,0.90,1.07,1.01,0.20,0.80,2.03,9.66,tend3,13.55
5.42,0.15,0.82,5.90,31.94,2.68,33.75,2.22,7.13,1.39,4.47,2.04,6.54,0.11,0.38,0.39,2.51,0.38,0.74,15.22,5.61,1.99,0.26,0.65,2.07,1.01,0.13,0.87,1.65,11.38,ljqq3,
11.11,0.45,0.38,2.49,26.95,4.06,33.57,16.48,18.30,9.22,10.24,2.46,2.74,0.09,0.31,0.17,10.92,0.38,0.19,3.44,5.55,2.39,1.05,6.76,7.50,1.19,0.23,0.56,2.31,4.91,hbor3,20.03
13.10,1.67,1.56,4.43,76.86,12.75,21.84,19.62,25.74,9.47,12.42,6.49,8.51,0.66,27.80,0.82,8.58,1.02,0.39,11.89,8.79,4.99,0.66,2.76,3.63,0.78,0.42,0.58,1.13,4.89,cple3,4.97
7.00,0.68,1.31,5.55,38.89,9.73,25.14,17.94,23.62,6.63,8.73,2.88,3.80,0.30,7.16,0.39,39.81,7.46,0.44,18.74,10.48,5.49,1.60,3.51,4.62,2.07,0.23,0.71,1.23,11.55,engi11,22.10
19.52,2.31,1.31,4.53,71.00,11.82,56.70,16.63,21.08,15.89,20.14,10.94,13.87,0.64,12.12,0.85,19.35,1.30,0.28,6.72,2.99,3.26,0.59,4.95,6.27,0.75,0.49,0.51,1.27,11.27,hype3,8.75
0.12,0.07,0.24,0.00,0.00,62.89,29.76,2.71,4.03,3.70,5.50,1.80,2.67,0.06,0.50,0.11,21.85,45.44,0.89,207.93,73.64,56.25,0.25,1.90,2.83,0.43,0.27,0.73,1.49,7.40,amer3,
