p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
7.20,0.94,1.13,10.94,85.52,13.02,62.09,20.86,23.21,2.93,4.50,0.71,1.37,2.63,18.52,2.90,0.76,15.66,17.58,10.23,0.63,0.37,3.46,6.03,12.34,balm3,2.63,4.04,0.34,1.21,1.34,0.12
3.35,1.00,0.61,5.70,19.26,29.88,45.86,50.57,0.00,1.98,1.98,0.12,0.54,0.99,171.69,31.33,0.12,18.25,20.29,3.64,0.20,1.00,1.35,18.08,21.57,bnbr3,,,,,,
7.30,1.43,1.26,3.39,37.96,19.60,32.58,23.51,24.81,7.88,6.08,0.53,1.32,1.21,25.48,4.39,0.37,17.22,10.91,8.55,0.42,0.54,3.36,17.59,1.81,cyre3,7.46,5.77,0.37,1.70,1.79,0.70
44.71,2.08,2.15,5.13,233.05,4.64,46.24,30.84,49.12,10.27,6.73,0.57,8.50,0.69,7.23,0.35,0.27,4.81,11.34,1.31,0.26,0.73,1.62,14.81,16.76,rail3,6.45,4.23,1.13,2.22,3.53,1.58
3.40,2.39,1.32,0.00,0.00,70.19,30.43,22.33,54.55,16.30,10.70,0.57,4.59,0.74,28.95,11.21,0.24,38.74,8.44,16.83,0.43,0.57,2.21,49.71,85.88,prio3,6.67,4.38,0.69,2.29,5.60,1.05
12.98,0.56,0.71,3.33,43.25,4.31,11.68,7.92,13.11,7.70,7.05,0.45,1.85,0.72,26.89,1.48,0.80,5.50,6.48,3.48,0.63,0.37,2.70,9.73,4.91,ggbr4,4.65,4.26,0.10,0.60,0.99,0.28
32.32,0.65,0.32,0.00,0.00,2.02,17.31,5.80,11.89,13.85,11.28,0.21,2.47,0.25,96.64,0.95,0.32,0.99,1.71,0.64,0.65,0.35,2.05,22.54,,hapv3,6.76,5.50,0.07,1.26,2.58,0.27
40.31,0.55,0.66,0.99,211.66,1.35,23.52,9.40,24.59,12.40,5.80,0.25,3.41,0.35,8.22,0.14,0.46,1.65,4.86,0.74,0.37,0.61,1.33,6.92,21.69,dxco3,4.74,2.22,0.76,2.52,6.60,0.98
8.42,0.47,1.79,15.55,130.95,5.61,26.31,11.49,17.02,4.88,4.11,0.47,2.70,0.96,10.01,2.13,0.99,21.28,15.80,6.10,0.26,0.72,1.52,10.13,23.05,brfs3,3.29,2.78,0.34,0.52,0.77,1.23
8.34,2.32,2.30,2.73,22.84,27.76,53.06,44.30,49.87,6.54,5.23,1.05,33.60,1.23,59.17,16.33,0.45,27.61,18.05,12.58,0.46,0.54,1.26,17.71,62.90,sbsp3,5.81,4.64,0.58,1.16,1.31,0.77
7.05,0.40,1.04,4.04,28.86,5.61,44.52,8.31,10.98,7.92,4.76,0.38,2.31,0.82,12.93,1.90,0.95,14.69,11.82,5.34,0.36,0.64,1.43,27.98,,sbfg3,5.99,3.60,0.69,2.39,3.16,0.82
8.79,1.08,2.46,9.99,64.85,12.32,20.96,16.75,18.09,6.25,6.46,1.74,5.45,3.61,14.91,4.18,1.61,28.02,23.07,19.82,0.71,0.29,2.61,17.22,30.28,tgma3,5.79,5.99,0.08,0.19,0.21,0.17
26.64,3.76,1.47,6.35,159.17,14.11,43.59,10.97,21.36,43.02,34.28,0.60,6.39,0.75,42.22,2.32,0.16,5.51,2.12,2.26,0.41,0.59,1.92,7.96,,elet6,22.09,17.60,0.39,4.67,9.11,0.65
10.29,0.86,2.22,5.06,31.93,8.36,100.00,8.64,9.78,6.86,9.95,0.63,10.01,1.40,22.40,4.83,0.73,21.54,13.04,6.22,0.28,0.71,1.13,14.93,13.43,pssa3,6.06,8.79,0.69,2.72,3.08,0.00
12.93,2.35,4.05,6.38,93.77,18.19,37.81,22.06,23.98,10.66,10.67,0.77,2.58,1.41,4.23,1.33,0.33,31.32,17.50,6.92,0.19,0.79,2.93,20.38,39.77,dirr3,9.80,9.81,0.00,0.01,0.01,0.96
13.19,0.17,0.87,7.50,100.51,1.26,16.31,11.79,19.09,7.30,1.41,0.13,0.70,0.21,6.35,0.42,0.78,6.59,11.08,0.98,0.15,0.85,1.99,27.55,1.81,jslg3,4.50,0.87,3.64,3.64,5.89,4.41
29.90,0.49,2.03,0.34,10.41,1.64,21.96,7.98,12.50,9.38,6.16,0.48,1.67,1.11,7.28,0.50,0.99,6.80,9.26,2.25,0.24,0.75,2.06,42.23,,prnr3,5.98,3.93,1.06,2.06,3.22,2.15
71.07,0.86,0.79,0.00,0.00,1.21,27.05,2.20,2.44,44.43,39.14,0.29,0.48,1.24,9.48,0.11,0.34,1.11,0.16,1.80,0.37,0.58,4.80,5.42,11.62,even3,40.19,35.41,0.11,4.78,5.29,0.59
20.61,2.95,5.39,1.45,23.20,14.33,57.53,20.41,23.74,15.11,14.47,3.35,7.13,10.58,3.33,0.87,1.13,26.15,23.54,16.24,0.62,0.38,3.18,28.39,38.91,tfco4,12.99,12.44,0.24,0.55,0.64,0.29
4.84,1.61,0.95,5.65,19.95,33.17,56.64,36.81,45.31,6.28,4.37,0.45,21.71,0.51,7.80,1.54,0.28,19.69,12.82,9.08,0.47,0.53,1.21,7.83,17.82,sapr3,5.10,3.55,0.45,1.67,2.06,0.57
