cotação,dy,pvp,liquidez_diária,liquidez_unidade,variação,papel
51.00,8.27,0.61,65.91,K,15.96,RNGO11
9.55,11.31,0.90,2.05,M,11.57,RBVA11
128.28,7.82,0.65,808.75,K,8.16,RCRB11
8.88,14.52,0.90,169.20,K,20.65,SAPI11
4.75,4.06,0.61,606.78,K,26.33,SARE11
889.99,9.30,0.88,61.91,K,12.37,SHPH11
51.37,13.60,0.55,68.02,K,18.83,SEQR11
8.50,14.49,0.88,125.58,K,13.94,SADI11
2.67,0.00,0.25,1.58,K,34.17,SCPF11
45.20,10.88,0.68,4.44,K,-5.81,WPLZ11
1051.35,0.00,1.13,548.95,K,0.00,SOLR11
2.64,0.00,1.84,57.33,K,-62.55,SJAU11
35.96,14.18,0.61,56.77,K,30.01,SPTW11
87.55,11.49,0.99,144.06,K,11.09,PMFO11
10.50,9.96,1.07,75.03,K,16.80,TELM11
94.09,12.47,0.97,4.25,K,5.97,TSER11
76.02,10.55,0.82,1.77,K,11.86,VOTS11
3.01,5.06,0.52,13.65,K,-47.10,TORD11
93.05,13.26,0.89,798.01,K,13.73,TVRI11
100.81,13.20,0.99,11.92,M,14.75,TRXF11
157.94,16.63,1.55,23.53,K,43.61,TRXB11
14.85,0.00,1.01,9.55,M,12.93,VVCO11
90.00,9.69,1.00,1.08,K,1.63,VVRI11
15.30,0.92,0.39,105.71,K,5.01,VPPR11
8.85,13.79,0.87,60.64,K,6.12,VVCR11
9.48,15.08,0.97,6.13,M,14.77,VGIR11
7.34,14.44,0.86,2.94,M,7.62,VGHF11
49.49,8.59,0.80,210.11,K,33.68,PLAG11
76.29,15.74,0.82,2.53,M,1.61,VCJR11
60.23,12.95,0.81,1.18,M,1.41,RVBI11
89.99,6.82,0.86,3.58,K,33.24,BLMO11
7.90,19.75,0.74,518.84,K,16.69,VGRI11
69.40,8.34,0.44,28.17,K,40.00,FVPQ11
2.52,15.00,0.25,85.58,K,-13.40,VSLH11
5.60,14.36,0.64,199.82,K,15.46,VIUR11
6.96,15.59,0.74,93.13,K,7.91,VCRI11
7.39,3.79,0.93,2.18,M,7.73,VIFI11
89.40,9.15,0.79,2.04,M,24.41,VILG11
105.32,9.16,0.85,4.61,M,12.58,VISC11
4.93,12.88,0.49,491.77,K,11.79,VINO11
81.76,13.14,0.93,2.41,M,17.45,XPCI11
10.25,7.76,1.14,2.08,K,-15.01,ZAGH11
100.55,9.71,0.95,3.52,M,14.65,XPLG11
106.81,10.34,0.95,10.50,M,14.32,XPML11
104.03,10.46,1.17,227.35,K,20.81,HSRE11
8.19,15.14,0.86,280.81,K,11.43,GRUL11
85.28,9.63,0.82,4.27,M,7.54,HSML11
95.00,0.00,1.00,751.10,K,-3.06,HDOF11
19.97,9.41,0.92,2.33,M,12.13,HGBS11
87.35,9.26,0.79,754.94,K,22.13,HSLG11
1230.57,8.50,0.99,7.84,K,9.43,HUSI11
76.34,12.43,0.81,943.99,K,6.66,ITRI11
78.85,14.66,0.83,202.76,K,12.34,TMPS11
146.37,0.00,0.89,8.56,K,-4.66,VJFD11
14.88,1.06,1.92,62.38,K,109.28,JBFO11
105.00,7.43,0.93,17.42,K,10.11,JASC11
75.81,17.49,0.73,1.20,M,-9.12,MFII11
66.09,5.22,1.71,99.54,K,-36.07,MCEM11
16.85,0.00,0.73,130.43,K,3.00,MGHT11
147.00,0.00,0.95,40.72,K,-2.78,MMVE11
9.67,12.10,1.03,10.63,M,17.50,MXRF11
10.30,8.55,0.86,4.89,K,5.32,ONDV11
1000.00,0.34,0.94,1.67,M,-14.45,PNDL11
70.27,13.00,0.81,40.07,K,3.64,NAVT11
89.60,8.83,0.59,10.19,K,-0.49,OCRE11
48.00,0.00,1.31,1.67,M,-14.97,PNPR11
118.16,9.95,0.76,1.89,M,26.32,HGRE11
41.91,3.15,1.02,21.36,K,29.91,PATC11
53.25,8.75,0.82,2.66,K,-5.13,RBLG11
78.85,11.86,0.87,32.65,K,27.30,RRCI11
212.01,7.70,0.59,638.24,K,0.39,FPAB11
160.24,10.48,0.80,285.09,K,13.20,FIIP11
311.04,0.00,0.82,5.68,K,-47.28,RBTS11
40.33,14.98,0.62,58.39,K,32.80,RBRD11
63.00,15.40,0.73,147.81,K,-7.79,RBHG11
8.53,14.27,0.90,366.74,K,7.16,SPXS11
82.08,17.51,0.94,1.43,M,22.23,RZAK11
61.62,11.65,0.72,714.52,K,7.46,TRBL11
34.00,21.56,0.34,720.63,K,-39.11,URPR11
250.79,14.61,0.96,42.75,K,3.10,TJKB11
8.99,14.24,0.98,26.64,K,2.74,TRXY11
8.84,13.97,0.91,260.61,K,13.48,WHGR11
8.29,0.00,0.29,20.12,K,13.56,XPCM11
6.31,12.14,0.80,594.68,K,7.50,XPSF11
91.99,14.55,0.67,34.08,K,2.56,ZAVI11
520.00,0.00,0.29,10.63,K,-20.00,ZIFI11
74.63,12.10,0.74,359.74,K,19.96,XPIN11
8.81,14.64,0.87,2.20,M,12.66,MCRE11
91.64,13.48,0.95,2.47,M,8.97,HGCR11
6.52,16.56,0.77,171.48,K,-11.65,ARRI11
59.71,15.88,0.84,551.19,K,-5.07,HGFF11
76.66,16.37,0.84,272.82,K,9.80,RBHY11
9.43,14.26,0.98,82.27,K,17.73,SNME11
91.10,14.45,0.95,166.26,K,36.09,RBIR11
89.09,14.01,0.89,604.08,K,14.20,RZAT11
81.83,14.66,0.84,787.63,K,5.49,SNCI11
71.84,12.56,0.84,388.65,K,-3.71,SNFF11
81.40,12.77,0.84,737.64,K,6.50,TEPP11
76.00,15.26,0.86,1.30,M,7.53,VGIP11
