valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel
4762446000,8130474000,5988659000,681322000,15473499000,5572007000,5586439000,3368028000,2218411000,100.00,novo mercado,43.12,consumo cíclico,incorporações,jhsf3
4398235000,9497847000,6744052000,820566000,18023149000,5341161000,6606268000,5099612000,1506656000,100.00,novo mercado,36.77,materiais básicos,madeira,dxco3
177826000,949284000,779741000,592755000,2193027000,478724000,786405000,771458000,14947000,0.00,tradicional,59.67,bens industriais,construção pesada,azev4
60450104000,129838757000,45118402000,1264117000,164416918000,42575229000,92962205000,69388653000,23573552000,100.00,novo mercado,50.69,materiais básicos,papel e celulose,suzb3
14290099000,11323864000,13446790000,542936000,26434116000,3817026000,,2966235000,2966235000,100.00,novo mercado,92.76,financeiro,exploração de imóveis,alos3
5132280000,5200842000,3536831000,308245000,8917834000,4251549000,1249021000,68562000,1180459000,100.00,novo mercado,32.93,consumo cíclico,tecidos. vestuário e calçados,ceab3
4312820000,50448872000,3359095000,873040000,84130593000,28882919000,58517153000,46136052000,12381101000,100.00,novo mercado,26.00,financeiro,holdings diversificadas,simh3
30200394000,35851928000,16846413000,1682473000,64292562000,32863984000,20745520000,5651534000,15093986000,novo mercado,48.41,0.10,consumo não cíclico,carnes e derivados,brfs3
94495239000,117853198000,40444121000,683509000,88719931000,13234427000,31283547000,23357959000,7925588000,100.00,novo mercado,49.74,utilidade pública,água e saneamento,sbsp3
36729504000,83731504000,36192000000,1213797000,113489000000,21511000000,53313000000,47002000000,6311000000,100.00,novo mercado,16.07,utilidade pública,energia elétrica,neoe3
177826000,949284000,779741000,592755000,2193027000,478724000,786405000,771458000,14947000,0.00,tradicional,59.67,bens industriais,construção pesada,azev3
1295945000,3202300000,1232630000,346509000,4585303000,1465549000,2529687000,1906355000,623332000,100.00,nível 1,49.46,bens industriais,construção pesada,arml3
81826000,10121336000,15495962000,330121000,18729654000,4601185000,11188856000,10039510000,1149346000,100.00,nível 1,90.04,telecomunicações,telecomunicações,oibr3
