cotação,variação_12m,p_l,p_vp,dy,carteira_investidor_10,papel
2.95,66.48,0.02,0.00,0.00,,gshp3
11.80,53.91,51.44,0.58,0.00,,crpg6
98.56,2.58,3.15,0.57,6.06,,bnbr3
20.90,42.56,7.20,1.13,10.94,,balm3
54.50,30.31,11.67,2.87,8.52,,enmt4
17.01,0.06,9.18,0.58,8.23,,bmin4
2.70,39.33,34.43,44.66,0.00,,dtcy3
42.01,11.79,8.03,2.13,2.58,,bmeb3
26.94,,0.00,0.82,0.00,,ccty3
37.28,11.52,18.01,0.77,3.63,,peab3
6.00,8.70,99.81,130.60,0.00,,psvm11
6.25,15.77,7.62,2.96,10.54,,eqpa5
33.70,50.54,12.14,1.81,15.34,,gepa3
17.90,11.45,7.88,0.68,8.47,,brsr5
95.03,39.30,6.03,0.95,9.45,,clsc3
25.00,7.11,5.63,1.03,4.19,,mrsa6b
25.04,12.24,5.64,1.03,3.80,,mrsa3b
34.01,8.54,4.03,1.05,6.04,,ceeb5
33.70,22.17,10.35,0.77,4.01,,coce3
