"Ticker","Nome","Negócios","Última (R$)","Variação"
"ENGI3","Energisa","15.000","11,45","+3,34%"
"UCAS3","Unicasa","14.900","1,40","+0,72%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","14.700","2,05","-0,49%"
"ALLD3","Allied","14.000","6,91","-0,14%"
"LAND3","Terra Santa","13.800","10,38","+0,78%"
"FHER3","Fertilizantes Heringer","13.300","4,05","-1,46%"
"TELB4","Telebras","12.300","7,65","+4,51%"
"SHOW3","Time For Fun","12.100","6,67","+1,52%"
"BAZA3","Banco da Amazônia","12.000","70,22","+0,21%"
"TRAD3","Traders Club","10.300","7,45","-2,10%"
"ALUP4","Alupar","9.800","9,52","+0,95%"
"INEP3","Inepar","9.800","1,87","-3,11%"
"OIBR4","Oi","9.500","8,02","+1,65%"
"LVTC3","WDC Networks","9.300","3,65","+3,99%"
"TPIS3","Triunfo","9.100","4,03","+0,75%"
"CGRA4","Grazziotin","9.000","27,75","+3,70%"
"NUTR3","Nutriplant","8.900","2,81","-9,94%"
"BEES3","Banestes","8.700","8,44","+0,48%"
"SCAR3","São Carlos","8.600","16,87","-0,94%"
"BIED3","BIED3","8.200","3,40","+3,03%"
"AMAR11","Lojas Marisa","8.200","0,21","+5,00%"
"EKTR4","Elektro","7.700","53,04","-2,18%"
"AGXY3","AgroGalaxy","7.700","6,03","-3,05%"
"INEP4","Inepar","7.700","1,50","+3,45%"
"ALUP3","Alupar","7.600","10,42","+0,29%"
"BIOM3","Biomm","7.400","7,68","+1,19%"
"BSLI3","Banco de Brasília","7.100","8,40","+9,38%"
"EPAR3","Embpar Participações","6.900","4,70","-1,88%"
"VSTE3","LE LIS BLANC","6.700","5,99","-0,17%"
"BEES4","Banestes","6.500","8,37","-0,59%"
"PTNT4","Pettenati","6.500","4,75","+0,42%"
"VIVR3","Viver","6.500","0,83","+0,00%"
"BPAC5","Banco BTG Pactual","6.400","8,96","+3,23%"
"RAPT3","Randon","6.400","7,15","+0,85%"
"BMEB4","Banco Mercantil do Brasil","5.800","39,50","+1,52%"
"BSLI4","Banco de Brasília","5.500","8,83","+11,91%"
"DOTZ3","Dotz","4.800","5,00","-0,99%"
"LOGN3","Log-In","4.600","25,03","-0,52%"
"RSUL4","Metalúrgica Riosulense","4.400","68,96","+0,69%"
"TELB3","Telebras","4.400","12,36","+1,31%"
"PINE3","Banco Pine","4.300","5,87","+1,21%"
"OSXB3","OSX Brasil","4.200","2,66","+6,40%"
"ENGI4","Energisa","4.000","8,68","+2,00%"
"JFEN3","João Fortes","3.400","1,52","-1,94%"
"BRSR3","Banrisul","3.300","11,62","+0,52%"
"WHRL3","Whirlpool","3.300","4,18","-3,91%"
"EQPA3","Equatorial Energia Pará","3.200","5,51","-2,48%"
"WEST3","Westwing","3.200","3,69","-0,27%"
"AVLL3","Alphaville","2.900","1,72","+1,78%"
"CLSC4","Celesc","2.800","104,82","+1,93%"
"CEBR5","CEB","2.700","19,00","-1,76%"
"BPAC3","Banco BTG Pactual","2.100","22,17","+0,77%"
"CEBR3","CEB","1.900","19,15","+0,84%"
"RNEW11","Renova Energia","1.900","3,90","-2,99%"
"LUPA11","LUPA11","1.900","0,40","+233,33%"
