p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
17.66,4.65,0.97,5.02,95.91,26.33,74.56,55.52,77.32,6.47,8.38,0.49,5.20,0.58,24.77,1.36,0.11,5.48,11.23,3.19,0.51,0.46,2.91,28.57,33.05,alos3,4.64,6.01,0.22,1.37,1.91,0.00
7.78,1.19,1.41,4.18,32.59,15.26,37.73,26.63,47.00,9.68,4.46,0.38,2.23,0.51,34.12,6.19,0.32,18.14,7.74,4.93,0.27,0.73,3.16,10.99,,suzb3,5.48,2.53,1.65,2.96,5.22,2.12
8.42,0.47,1.79,15.55,130.95,5.61,26.31,11.49,17.02,4.88,4.11,0.47,2.70,0.96,10.01,2.13,0.99,21.28,15.80,6.10,0.26,0.72,1.52,10.13,23.05,brfs3,3.29,2.78,0.34,0.52,0.77,1.23
7.48,2.08,2.07,3.05,22.84,27.76,53.06,44.30,49.87,6.00,4.69,0.94,30.13,1.11,59.17,16.33,0.45,27.61,18.05,12.58,0.46,0.54,1.26,17.71,62.90,sbsp3,5.33,4.16,0.58,1.16,1.31,0.77
0.59,0.38,0.09,0.00,0.00,65.71,0.65,27.51,9.60,16.17,1.40,0.03,0.43,0.04,4.17,0.67,0.09,16.00,8.30,5.69,0.36,0.64,0.74,53.88,,azev3,46.35,4.01,0.99,42.34,14.77,1.01
9.91,0.09,1.13,1.63,16.08,0.89,25.94,16.44,26.64,7.10,0.54,0.04,0.41,0.07,3.85,0.44,0.51,11.36,11.15,0.22,0.04,0.92,1.46,34.24,,simh3,4.38,0.33,13.73,4.05,6.57,17.42
9.29,0.58,1.35,2.53,0.00,6.26,55.09,12.29,14.32,5.00,4.73,0.53,3.40,0.99,11.21,1.63,0.90,14.53,18.15,5.66,0.39,0.61,1.49,14.45,,ceab3,4.29,4.06,0.08,0.23,0.27,0.37
21.31,0.49,0.60,1.07,122.20,2.31,25.33,10.44,25.75,10.64,4.72,0.23,4.59,0.31,8.30,0.23,0.46,2.83,6.36,1.18,0.38,0.61,1.22,7.21,14.12,dxco3,4.32,1.91,0.76,2.40,5.92,0.97
14.41,0.57,0.86,4.95,35.48,3.94,35.93,22.91,35.77,6.95,2.48,0.23,1.23,0.34,3.56,0.21,0.41,5.95,11.21,1.70,0.27,0.72,2.42,76.73,26.56,arml3,4.45,1.59,1.55,2.86,4.47,2.05
7.69,0.66,0.94,3.03,23.29,8.62,27.16,20.03,25.94,7.80,3.31,0.30,10.90,0.37,29.02,3.56,0.45,12.28,11.41,3.93,0.32,0.68,1.17,9.42,8.42,neoe3,6.02,2.56,1.28,3.46,4.49,1.44
